Name,Brand,Rating,Price,Dominance,THC,CBD,Terpenes,Calm/Energize,Feelings,Helps,Negative,Join_name
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']","['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']","['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']",gsc
The Church,Kiamichi Skies,4.0,,,,,,,,,,the church
Grapefruit Durban,Terrapin Care Station,4.7,,,,,,,,,,grapefruit durban
True OG,Eureka Cultivation,,,THC Dominant,17–20% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.7551,"['Relaxed 65%', 'Happy 54%', 'Euphoric 50%', 'Sleepy 37%', 'Uplifted 34%']","['Stress 36%', 'Anxiety 30%', 'Pain 28%', 'Depression 25%', 'Insomnia 24%']","['Dry mouth 31%', 'Dry eyes 23%', 'Dizzy 5%', 'Headache 4%', 'Anxious 2%']",true og
Guru,"CommCan, Inc.",5.0,,,,,,,,,,guru
Garlic Bud,Regulator Xtracts,,,THC Dominant,,,,,,,,garlic bud
Russian Automatic (RNA) Hemp flower,Texas CannaBest,4.0,40.0,,,,,,,,,russian automatic  hemp flower
Zkittlez (CBD),Simply Crafted,5.0,25.0,THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']",zkittlez
Cookies and Cream,Prūf Cultivar,,,THC Dominant,18–23% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.159,"['Relaxed 66%', 'Happy 62%', 'Euphoric 51%', 'Uplifted 48%', 'Creative 27%']","['Stress 32%', 'Depression 27%', 'Anxiety 25%', 'Pain 21%', 'Insomnia 18%']","['Dry mouth 22%', 'Dry eyes 13%', 'Dizzy 5%', 'Anxious 3%', 'Paranoid 1%']",cookies and cream
Panda OG,Phat Panda by Grow Op Farms,,,,,,,-0.0369,"['Relaxed 52%', 'Focused 48%', 'Happy 48%', 'Euphoric 44%', 'Uplifted 44%']","['Depression 24%', 'Lack of appetite 24%', 'Pain 24%', 'Stress 24%', 'Headaches 16%']","['Dry mouth 20%', 'Anxious 8%', 'Dry eyes 8%', 'Dizzy 4%', 'Headache 4%']",panda og
Orange Cream Cake,AZ Nectar Farms,5.0,,,,,,,,,,orange cream cake
Super Lemon Haze,Claybourne Co.,,,THC Dominant,15–20% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Ocimene']",0.9538,"['Happy 55%', 'Uplifted 54%', 'Energetic 53%', 'Euphoric 49%', 'Creative 41%']","['Stress 34%', 'Depression 26%', 'Anxiety 24%', 'Pain 18%', 'Fatigue 15%']","['Dry mouth 28%', 'Dry eyes 17%', 'Paranoid 7%', 'Dizzy 6%', 'Anxious 5%']",super lemon haze
Papaya,Ervana,,,THC Dominant,13–17% THC,< 1% CBD,,-0.6436,"['Relaxed 66%', 'Happy 50%', 'Euphoric 41%', 'Creative 36%', 'Sleepy 33%']","['Stress 34%', 'Pain 33%', 'Anxiety 29%', 'Insomnia 21%', 'Depression 18%']","['Dry mouth 21%', 'Dry eyes 11%', 'Dizzy 6%', 'Paranoid 3%', 'Anxious 2%']",papaya
Purple Punch,SunMed Growers,,,THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Pinene']",-0.8743,"['Relaxed 62%', 'Happy 42%', 'Euphoric 38%', 'Sleepy 36%', 'Uplifted 25%']","['Stress 27%', 'Anxiety 23%', 'Depression 21%', 'Pain 21%', 'Insomnia 20%']","['Dry mouth 21%', 'Dry eyes 12%', 'Dizzy 5%', 'Anxious 3%', 'Headache 2%']",purple punch
Southern Lights,Phat Panda by Grow Op Farms,,,THC Dominant,,,,,,,,southern lights
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,THC Dominant,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3794,"['Relaxed 68%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 28%']","['Stress 32%', 'Pain 26%', 'Depression 25%', 'Anxiety 23%', 'Insomnia 19%']","['Dry mouth 26%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']",original glue
XXX OG,Maven Genetics,5.0,,THC Dominant,16–20% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.8629,"['Relaxed 69%', 'Sleepy 53%', 'Euphoric 46%', 'Happy 46%', 'Uplifted 30%']","['Stress 37%', 'Pain 34%', 'Insomnia 31%', 'Anxiety 29%', 'Depression 24%']","['Dry mouth 20%', 'Dry eyes 15%', 'Dizzy 4%', 'Headache 2%', 'Anxious 1%']",xxx og
Sunshine #4,SunMed Growers,5.0,,,,,,0.6835,"['Uplifted 61%', 'Happy 56%', 'Relaxed 54%', 'Euphoric 50%', 'Talkative 34%']","['Pain 40%', 'Stress 40%', 'Depression 31%', 'Headaches 22%', 'Muscle spasms 22%']","['Dry mouth 15%', 'Dry eyes 9%', 'Anxious 2%', 'Paranoid 2%']",sunshine #4
Amnesia Haze,Regulator Xtracts,,,THC Dominant,16–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",0.7683,"['Happy 68%', 'Euphoric 62%', 'Uplifted 57%', 'Creative 44%', 'Energetic 44%']","['Stress 36%', 'Depression 30%', 'Anxiety 25%', 'Pain 22%', 'Fatigue 14%']","['Dry mouth 41%', 'Dry eyes 21%', 'Paranoid 15%', 'Dizzy 12%', 'Anxious 6%']",amnesia haze
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']","['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']","['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']",gsc
Gelato #33,Sunday Goods,,,THC Dominant,16–21% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Linalool']",0.3257,"['Happy 52%', 'Relaxed 49%', 'Uplifted 48%', 'Euphoric 43%', 'Focused 31%']","['Stress 27%', 'Anxiety 24%', 'Depression 23%', 'Pain 22%', 'Headaches 12%']","['Dry mouth 13%', 'Dry eyes 9%', 'Dizzy 5%', 'Anxious 0%', 'Headache 0%']",gelato #33
Princess Leia,Terrapin Care Station,4.7,,,,,,,,,,princess leia
Face Off OG,TRU Infusion,,,THC Dominant,16–23% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.8705,"['Relaxed 77%', 'Euphoric 57%', 'Happy 52%', 'Sleepy 47%', 'Focused 26%']","['Pain 47%', 'Stress 41%', 'Depression 37%', 'Insomnia 31%', 'Anxiety 31%']","['Dry mouth 32%', 'Dizzy 14%', 'Dry eyes 14%', 'Anxious 4%', 'Paranoid 3%']",face off og
NYC Sister ,Nature's Heritage,4.0,,,,,,,,,,nyc sister
Brownie Scout - Relax,rythm,4.7,,,,,,,,,,brownie scout - relax
Guava Cake,Gold Leaf Gardens,5.0,,,,,,,,,,guava cake
Hash Haze,Terrapin Care Station,3.9,,,,,,,,,,hash haze
Zkittlez (CBD),Simply Crafted,5.0,25.0,THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']",zkittlez
Skywalker OG,Emerald Family Farms,4.5,,,,,,,,,,skywalker og
Mountain Thunder,LivWell,3.0,,THC Dominant,,,,,,,,mountain thunder
Heavy Duty Fruity,Funky Monkey By Northwest Cannabis Solutions,,,THC Dominant,,,,0.3961,"['Euphoric 42%', 'Happy 42%', 'Uplifted 40%', 'Relaxed 38%', 'Energetic 29%']","['Stress 35%', 'Pain 31%', 'Anxiety 26%', 'Depression 24%', 'Insomnia 19%']","['Dry mouth 26%', 'Dry eyes 21%', 'Dizzy 7%', 'Headache 3%', 'Anxious 1%']",heavy duty fruity
Silver Cake Flower,Evergrow Northwest,4.0,,,,,,,,,,silver cake flower
Grape Ape,Abundant Organics,,,THC Dominant,14–19% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",-0.8376,"['Relaxed 61%', 'Happy 48%', 'Sleepy 44%', 'Euphoric 43%', 'Hungry 28%']","['Pain 40%', 'Stress 37%', 'Anxiety 31%', 'Insomnia 31%', 'Depression 20%']","['Dry mouth 28%', 'Dry eyes 17%', 'Dizzy 6%', 'Paranoid 4%', 'Headache 3%']",grape ape
Zkittlez (CBD),Simply Crafted,5.0,25.0,THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']",zkittlez
Grapefruit Durban,Terrapin Care Station,4.7,,,,,,,,,,grapefruit durban
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,THC Dominant,,,,-0.0981,"['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']",blueberry pie
Long's Peak Blue,Terrapin Care Station,4.3,,,,,,,,,,long's peak blue
