Name,Dominance,THC,CBD,Terpenes,Calm/Energize,Feelings,Helps,Negative,Join_name
Purple Gorilla,THC Dominant,16–18% THC,< 1% CBD,,-0.6673,"['Relaxed 64%', 'Happy 50%', 'Euphoric 44%', 'Uplifted 31%', 'Sleepy 30%']","['Stress 31%', 'Anxiety 24%', 'Pain 22%', 'Depression 21%', 'Insomnia 17%']","['Dry mouth 32%', 'Dry eyes 16%', 'Dizzy 7%', 'Headache 6%', 'Paranoid 3%']",purple gorilla
Montana Silvertip,THC Dominant,17–22% THC,< 1% CBD,,0.1052,"['Relaxed 77%', 'Happy 76%', 'Uplifted 53%', 'Euphoric 47%', 'Creative 40%']","['Stress 44%', 'Pain 34%', 'Depression 30%', 'Anxiety 22%', 'Fatigue 20%']","['Dry mouth 15%', 'Dry eyes 11%', 'Anxious 2%', 'Headache 2%']",montana silvertip
Nepalese Jam,THC Dominant,,,,,,,,nepalese jam
Purple OG Kush,THC Dominant,14–17% THC,< 1% CBD,,-0.8316,"['Relaxed 68%', 'Sleepy 56%', 'Happy 51%', 'Euphoric 44%', 'Hungry 44%']","['Stress 41%', 'Pain 36%', 'Insomnia 31%', 'Anxiety 31%', 'Depression 24%']","['Dry mouth 42%', 'Dry eyes 26%', 'Dizzy 10%', 'Anxious 8%', 'Paranoid 8%']",purple og kush
White Romulan,,,,,-0.5672,"['Relaxed 71%', 'Happy 56%', 'Euphoric 48%', 'Focused 35%', 'Uplifted 30%']","['Pain 43%', 'Stress 38%', 'Anxiety 28%', 'Headaches 23%', 'Lack of appetite 20%']","['Dry mouth 33%', 'Headache 10%', 'Dry eyes 7%', 'Anxious 5%', 'Paranoid 2%']",white romulan
Kong,,,,,-0.7452,"['Relaxed 62%', 'Happy 44%', 'Euphoric 35%', 'Uplifted 29%', 'Sleepy 26%']","['Stress 35%', 'Pain 34%', 'Anxiety 21%', 'Depression 20%', 'Insomnia 19%']","['Dry mouth 24%', 'Dry eyes 14%', 'Dizzy 3%', 'Anxious 1%', 'Paranoid 1%']",kong
Love Potion #9,,,,,-0.7478,"['Relaxed 73%', 'Happy 56%', 'Euphoric 50%', 'Giggly 40%', 'Uplifted 30%']","['Stress 40%', 'Depression 26%', 'Pain 26%', 'Lack of appetite 20%', 'Anxiety 20%']","['Dry mouth 30%', 'Headache 6%', 'Dizzy 3%', 'Dry eyes 3%']",love potion #9
Summertime Squeeze,THC Dominant,,,,,,,,summertime squeeze
Crimea Blue,THC Dominant,,,,-0.3895,"['Happy 56%', 'Relaxed 56%', 'Euphoric 47%', 'Sleepy 47%', 'Uplifted 47%']","['Pain 60%', 'Stress 47%', 'Insomnia 43%', 'Depression 34%', 'Nausea 26%']","['Dizzy 17%', 'Dry eyes 8%', 'Dry mouth 8%', 'Headache 4%']",crimea blue
NY Cheese,THC Dominant,,,,,,,,ny cheese
El Niño,THC Dominant,,,,-0.415,"['Euphoric 65%', 'Happy 43%', 'Uplifted 43%', 'Relaxed 39%', 'Sleepy 39%']","['Stress 60%', 'Insomnia 43%', 'Anxiety 43%', 'Depression 30%', 'Pain 30%']","['Dry eyes 39%', 'Dry mouth 39%', 'Headache 17%', 'Paranoid 13%']",el niño
Slice of Heaven,THC Dominant,,,,,,,,slice of heaven
Blush,THC Dominant,,,,,,,,blush
Special K,THC Dominant,,,,0.5402,,,,special k
Placenta,THC Dominant,,,,,,,,placenta
Pacific Blue,THC Dominant,,,,-0.7373,"['Relaxed 73%', 'Euphoric 60%', 'Happy 53%', 'Sleepy 53%', 'Tingly 53%']","['Stress 60%', 'Insomnia 46%', 'Pain 46%', 'Depression 33%', 'Headaches 20%']","['Dry mouth 40%', 'Dry eyes 33%']",pacific blue
Blizzard Bush,THC Dominant,,,,,,,,blizzard bush
Watermelon Zkittlez,THC Dominant,22–25% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Myrcene']",,,,,watermelon zkittlez
Jacky Girl,THC Dominant,,,,,,,,jacky girl
Dutchberry,,,,,0.7092,"['Happy 68%', 'Relaxed 44%', 'Uplifted 43%', 'Euphoric 40%', 'Creative 36%']","['Stress 25%', 'Anxiety 25%', 'Depression 24%', 'Headaches 18%', 'Pain 15%']","['Dry mouth 18%', 'Anxious 9%', 'Paranoid 8%', 'Dry eyes 6%', 'Dizzy 3%']",dutchberry
Appleberry,THC Dominant,,,,,,,,appleberry
Kubbie Kush,THC Dominant,,,,-0.9836,,,,kubbie kush
Suicide Girl,THC Dominant,,,,,,,,suicide girl
Pineapple Purps,THC Dominant,,,,,,,,pineapple purps
Predator Pink,,,,,-0.8501,"['Relaxed 51%', 'Euphoric 48%', 'Happy 48%', 'Sleepy 20%', 'Uplifted 20%']","['Stress 31%', 'Depression 27%', 'Lack of appetite 20%', 'Pain 20%', 'Headaches 13%']","['Dry mouth 24%', 'Dry eyes 6%', 'Paranoid 6%', 'Dizzy 3%']",predator pink
Rolls Choice,,,,,0.2593,"['Happy 75%', 'Relaxed 64%', 'Euphoric 60%', 'Uplifted 54%', 'Energetic 31%']","['Pain 41%', 'Stress 35%', 'Depression 29%', 'Anxiety 29%', 'Inflammation 18%']","['Dry mouth 27%', 'Dry eyes 16%', 'Dizzy 10%', 'Anxious 8%', 'Paranoid 6%']",rolls choice
Blue Power,THC Dominant,,,,-0.4619,"['Relaxed 82%', 'Euphoric 65%', 'Happy 60%', 'Uplifted 51%', 'Creative 45%']","['Stress 48%', 'Depression 34%', 'Insomnia 34%', 'Pain 34%', 'Anxiety 31%']","['Dry mouth 14%', 'Headache 11%', 'Dry eyes 8%', 'Paranoid 2%']",blue power
Hawaiian Skunk,THC Dominant,,,,0.6186,"['Happy 60%', 'Euphoric 57%', 'Uplifted 50%', 'Relaxed 45%', 'Creative 32%']","['Stress 40%', 'Depression 30%', 'Anxiety 27%', 'Headaches 20%', 'Insomnia 20%']","['Dry mouth 37%', 'Dry eyes 27%', 'Dizzy 15%', 'Paranoid 10%', 'Headache 5%']",hawaiian skunk
Super Sour OG,THC Dominant,17–23% THC,< 1% CBD,"['Limonene', 'Myrcene', 'Caryophyllene']",0.1583,"['Happy 70%', 'Relaxed 58%', 'Euphoric 45%', 'Uplifted 41%', 'Giggly 38%']","['Stress 32%', 'Anxiety 29%', 'Depression 25%', 'Pain 22%', 'Inflammation 19%']","['Dry eyes 16%', 'Dry mouth 16%']",super sour og
Sour Jack,THC Dominant,14–17% THC,< 1% CBD,,0.9209,"['Energetic 60%', 'Happy 58%', 'Uplifted 50%', 'Creative 49%', 'Euphoric 42%']","['Depression 35%', 'Stress 29%', 'Anxiety 25%', 'Fatigue 17%', 'Pain 14%']","['Dry mouth 25%', 'Dry eyes 7%', 'Dizzy 4%', 'Headache 4%', 'Anxious 3%']",sour jack
Wellness OG,THC Dominant,,,,0.9053,,,,wellness og
Sumo's OG Kush,THC Dominant,,,,,,,,sumo's og kush
Purple AK-47,THC Dominant,,,,-0.7897,"['Relaxed 67%', 'Euphoric 51%', 'Happy 39%', 'Sleepy 39%', 'Tingly 28%']","['Pain 48%', 'Stress 39%', 'Muscle spasms 26%', 'Anxiety 26%', 'Depression 17%']","['Dry mouth 19%', 'Dry eyes 12%', 'Headache 7%', 'Dizzy 3%', 'Paranoid 1%']",purple ak-47
Blood Orange Kush,THC Dominant,14–19% THC,< 1% CBD,,0.3303,,,,blood orange kush
Tangie Dream,THC Dominant,18–20% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",,,,,tangie dream
