Name,Dominance,THC,CBD,Terpenes,Calm/Energize,Feelings,Helps,Negative,Join_name
The Big Dirty,THC Dominant,,,,,,,,the big dirty
Alien Hallucination,THC Dominant,,,,0.4857,"['Happy 70%', 'Euphoric 62%', 'Relaxed 59%', 'Uplifted 48%', 'Creative 44%']","['Stress 40%', 'Depression 37%', 'Pain 25%', 'Muscle spasms 22%', 'Anxiety 22%']","['Dry mouth 18%', 'Dry eyes 11%', 'Paranoid 11%', 'Anxious 3%', 'Dizzy 3%']",alien hallucination
Strawberry Alien Kush,THC Dominant,,,,,,,,strawberry alien kush
Concord Grape Blockhead,THC Dominant,,,,,,,,concord grape blockhead
White Slipper,THC Dominant,,,,0.9053,,,,white slipper
Super Sour Skunk,THC Dominant,,,,0.5402,"['Happy 74%', 'Uplifted 51%', 'Giggly 42%', 'Relaxed 42%', 'Euphoric 37%']","['Stress 37%', 'Depression 31%', 'Pain 31%', 'Anxiety 25%', 'Fatigue 17%']","['Dry mouth 22%', 'Dry eyes 20%', 'Anxious 5%', 'Paranoid 5%', 'Dizzy 2%']",super sour skunk
Kush-N-Cheese,THC Dominant,,,,,,,,kush-n-cheese
Tuna Kush,THC Dominant,,,,-0.9074,"['Relaxed 79%', 'Sleepy 55%', 'Euphoric 53%', 'Happy 51%', 'Hungry 33%']","['Stress 48%', 'Depression 37%', 'Anxiety 33%', 'Pain 27%', 'Insomnia 24%']","['Dry mouth 35%', 'Dry eyes 12%', 'Paranoid 11%', 'Dizzy 7%', 'Anxious 3%']",tuna kush
Blackberry Hashplant,THC Dominant,,,,0.3164,"['Euphoric 57%', 'Sleepy 42%', 'Energetic 38%', 'Happy 33%', 'Uplifted 33%']","['Pain 71%', 'Anxiety 57%', 'Stress 42%', 'Nausea 28%', 'Migraines 28%']","['Dry mouth 47%', 'Dry eyes 33%', 'Dizzy 9%', 'Headache 9%', 'Paranoid 4%']",blackberry hashplant
Devil Fruit,,,,,-0.7507,"['Relaxed 85%', 'Happy 42%', 'Uplifted 42%', 'Euphoric 35%', 'Sleepy 35%']","['PTSD 28%', 'ADD/ADHD 21%', 'Anxiety 21%', 'Arthritis 21%', 'Bipolar disorder 14%']","['Dry mouth 28%', 'Anxious 21%', 'Dry eyes 21%', 'Dizzy 7%', 'Paranoid 7%']",devil fruit
Zookies,THC Dominant,17–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.0064,,,,zookies
Fruit Crusher,THC Dominant,,,,,,,,fruit crusher
LA OG,THC Dominant,17–21% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.665,"['Relaxed 61%', 'Euphoric 55%', 'Happy 40%', 'Uplifted 38%', 'Sleepy 34%']","['Pain 51%', 'Stress 38%', 'Anxiety 32%', 'Insomnia 30%', 'Muscle spasms 18%']","['Dry mouth 32%', 'Dry eyes 16%', 'Anxious 10%', 'Paranoid 10%', 'Dizzy 8%']",la og
Rare Darkness,THC Dominant,,,,-0.9059999999999999,"['Relaxed 78%', 'Sleepy 54%', 'Euphoric 48%', 'Happy 47%', 'Hungry 25%']","['Stress 35%', 'Insomnia 33%', 'Pain 33%', 'Anxiety 29%', 'Depression 20%']","['Dry mouth 29%', 'Dry eyes 9%', 'Anxious 4%', 'Headache 4%', 'Dizzy 3%']",rare darkness
Kushage,THC Dominant,22–27% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Myrcene']",0.9445,"['Uplifted 53%', 'Happy 50%', 'Creative 46%', 'Euphoric 46%', 'Energetic 42%']","['Pain 57%', 'Stress 42%', 'Muscle spasms 34%', 'Depression 30%', 'Anxiety 23%']","['Dry eyes 42%', 'Dry mouth 34%', 'Dizzy 11%', 'Paranoid 11%', 'Anxious 3%']",kushage
Wedding Crasher,THC Dominant,21–25% THC,< 1% CBD,"['Caryophyllene', 'Myrcene', 'Limonene']",0.2973,"['Happy 47%', 'Uplifted 40%', 'Relaxed 37%', 'Focused 32%', 'Euphoric 28%']","['Anxiety 22%', 'Depression 20%', 'Stress 20%', 'Pain 14%', 'PTSD 14%']","['Dry mouth 24%', 'Dry eyes 10%', 'Dizzy 4%', 'Headache 2%', 'Anxious 1%']",wedding crasher
Lady Liberty,THC Dominant,,,,,,,,lady liberty
Blackberry Bubble,THC Dominant,,,,-0.8088,,,,blackberry bubble
Afghan Cow,THC Dominant,,,,,,,,afghan cow
Wild Thailand,THC Dominant,,,,0.9876,,,,wild thailand
Lowryder,THC Dominant,,,,-0.0369,"['Relaxed 66%', 'Happy 50%', 'Uplifted 50%', 'Euphoric 38%', 'Creative 33%']","['Pain 38%', 'Stress 38%', 'Insomnia 33%', 'Anxiety 27%', 'Depression 22%']","['Dry mouth 33%', 'Paranoid 11%', 'Dizzy 5%', 'Dry eyes 5%']",lowryder
Pearl Scout Cookies,THC Dominant,12–25% THC,< 1% CBD,,0.7817,"['Happy 70%', 'Euphoric 62%', 'Uplifted 62%', 'Relaxed 56%', 'Energetic 51%']","['Depression 32%', 'Anxiety 27%', 'Stress 24%', 'Headaches 16%', 'Pain 16%']","['Dry mouth 16%', 'Dry eyes 8%', 'Dizzy 5%', 'Anxious 2%', 'Paranoid 2%']",pearl scout cookies
Acapulco Gold,THC Dominant,15–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",0.8758,"['Happy 62%', 'Uplifted 54%', 'Euphoric 48%', 'Creative 43%', 'Energetic 39%']","['Stress 36%', 'Depression 29%', 'Anxiety 27%', 'Pain 21%', 'Fatigue 17%']","['Dry mouth 25%', 'Dry eyes 16%', 'Paranoid 6%', 'Anxious 5%', 'Dizzy 4%']",acapulco gold
Walrus Kush,THC Dominant,,,,,,,,walrus kush
Maui Pineapple Chunk,THC Dominant,,,,,,,,maui pineapple chunk
Alf,THC Dominant,,,,,,,,alf
Pirate Radio,THC Dominant,,,,,,,,pirate radio
Kaleidos Dope,THC Dominant,,,,,,,,kaleidos dope
Caramel Kona Coffee Cookies,THC Dominant,,,,,,,,caramel kona coffee cookies
Berry OG,THC Dominant,15–18% THC,< 1% CBD,,-0.7307,"['Relaxed 74%', 'Euphoric 59%', 'Happy 51%', 'Creative 29%', 'Giggly 29%']","['Stress 34%', 'Pain 23%', 'Depression 21%', 'Insomnia 21%', 'Anxiety 21%']","['Dry mouth 27%', 'Dry eyes 14%', 'Anxious 6%', 'Paranoid 4%', 'Headache 2%']",berry og
Mango Dream,THC Dominant,,,,0.9081,"['Uplifted 50%', 'Happy 47%', 'Creative 44%', 'Energetic 41%', 'Euphoric 41%']","['Pain 25%', 'Stress 25%', 'Anxiety 22%', 'Depression 19%', 'Fatigue 8%']","['Dry mouth 27%', 'Dry eyes 13%', 'Headache 5%', 'Anxious 2%', 'Dizzy 2%']",mango dream
Deep Purple,,,,,-0.865,"['Relaxed 60%', 'Euphoric 53%', 'Sleepy 53%', 'Happy 44%', 'Hungry 33%']","['Stress 50%', 'Pain 46%', 'Anxiety 33%', 'Insomnia 26%', 'Depression 25%']","['Dry mouth 33%', 'Dry eyes 30%', 'Dizzy 11%', 'Headache 6%', 'Anxious 4%']",deep purple
The Wife,,,,,-0.4222,"['Relaxed 70%', 'Happy 44%', 'Uplifted 35%', 'Focused 23%', 'Euphoric 20%']","['Pain 52%', 'Stress 52%', 'Headaches 35%', 'Inflammation 35%', 'Anxiety 35%']","['Dry eyes 17%', 'Dry mouth 8%', 'Dizzy 5%', 'Anxious 2%', 'Headache 2%']",the wife
Cheese,THC Dominant,14–18% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3036,"['Happy 56%', 'Relaxed 54%', 'Euphoric 49%', 'Uplifted 38%', 'Hungry 33%']","['Stress 41%', 'Pain 32%', 'Anxiety 32%', 'Depression 25%', 'Insomnia 22%']","['Dry mouth 39%', 'Dry eyes 25%', 'Paranoid 10%', 'Dizzy 10%', 'Headache 6%']",cheese
The Blood,THC Dominant,,,,,,,,the blood
The Sauce,THC Dominant,17–22% THC,< 1% CBD,,0.731,"['Euphoric 57%', 'Happy 57%', 'Uplifted 50%', 'Creative 47%', 'Relaxed 47%']","['Stress 47%', 'Depression 44%', 'Anxiety 39%', 'Fatigue 34%', 'Pain 34%']","['Dry eyes 15%', 'Dry mouth 13%', 'Dizzy 2%', 'Headache 2%', 'Paranoid 2%']",the sauce
Mega Jackpot,THC Dominant,,,,,,,,mega jackpot
Berry Bomb,THC Dominant,14–18% THC,< 1% CBD,,-0.7672,"['Relaxed 80%', 'Happy 66%', 'Euphoric 47%', 'Uplifted 28%', 'Hungry 26%']","['Stress 47%', 'Insomnia 28%', 'Pain 26%', 'Depression 23%', 'Anxiety 23%']","['Dry mouth 28%', 'Anxious 14%', 'Dry eyes 9%', 'Paranoid 9%', 'Dizzy 4%']",berry bomb
Chocolate Thai,THC Dominant,14–19% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",0.5992,"['Happy 53%', 'Relaxed 46%', 'Uplifted 46%', 'Euphoric 39%', 'Creative 37%']","['Stress 38%', 'Depression 25%', 'Anxiety 22%', 'Pain 17%', 'Fatigue 13%']","['Dry mouth 22%', 'Dry eyes 16%', 'Paranoid 3%', 'Anxious 1%', 'Dizzy 1%']",chocolate thai
Sweet Nina,THC Dominant,,,,,,,,sweet nina
Jet Fuel,THC Dominant,16–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",0.5815,"['Happy 51%', 'Relaxed 51%', 'Uplifted 47%', 'Euphoric 43%', 'Energetic 35%']","['Stress 31%', 'Depression 25%', 'Pain 23%', 'Anxiety 18%', 'Fatigue 15%']","['Dry mouth 18%', 'Dry eyes 11%', 'Dizzy 5%', 'Anxious 4%', 'Paranoid 3%']",jet fuel
Citrus Rush,THC Dominant,,,,,,,,citrus rush
Superglue,THC Dominant,17–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.345,"['Relaxed 81%', 'Happy 62%', 'Euphoric 53%', 'Uplifted 42%', 'Focused 34%']","['Stress 39%', 'Anxiety 29%', 'Pain 28%', 'Depression 27%', 'Insomnia 19%']","['Dry mouth 29%', 'Dry eyes 12%', 'Dizzy 4%', 'Anxious 4%', 'Headache 2%']",superglue
Moloka’i Frost,THC Dominant,,,,,,,,moloka’i frost
Super  Chronic,THC Dominant,,,,,,,,super  chronic
KC 36,THC Dominant,,,,,,,,kc 36
Chocolate Meringue,THC Dominant,,,,,,,,chocolate meringue
Violet Delight,THC Dominant,18–22% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",-0.084,"['Relaxed 62%', 'Happy 58%', 'Uplifted 46%', 'Euphoric 44%', 'Talkative 20%']","['Stress 32%', 'Depression 31%', 'Pain 20%', 'Insomnia 15%', 'Lack of appetite 15%']","['Dry mouth 15%', 'Dry eyes 5%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']",violet delight
Fire Alien Strawberry,THC Dominant,,,,,,,,fire alien strawberry
Gupta Kush,THC Dominant,,,,,,,,gupta kush
Special Kush #1,THC Dominant,,,,,,,,special kush #1
Banana Bread,THC Dominant,15–21% THC,< 1% CBD,,,,,,banana bread
Chem Jong Ill,THC Dominant,,,,,,,,chem jong ill
Supernova,THC Dominant,,,,-0.7672,"['Relaxed 74%', 'Euphoric 60%', 'Happy 57%', 'Sleepy 40%', 'Uplifted 40%']","['Pain 31%', 'Insomnia 25%', 'Stress 25%', 'Headaches 20%', 'Anxiety 20%']","['Dry mouth 20%', 'Dry eyes 14%', 'Dizzy 8%']",supernova
The Flav,THC Dominant,14–18% THC,< 1% CBD,,0.7738,"['Euphoric 65%', 'Uplifted 58%', 'Happy 56%', 'Relaxed 46%', 'Energetic 34%']","['Stress 48%', 'Depression 31%', 'Pain 26%', 'Anxiety 24%', 'Headaches 9%']","['Dry mouth 29%', 'Dry eyes 19%', 'Dizzy 7%', 'Anxious 4%', 'Headache 2%']",the flav
Carpet Tape,THC Dominant,,,,,,,,carpet tape
Sweet Kush,THC Dominant,16–18% THC,< 1% CBD,,0.0376,"['Happy 47%', 'Relaxed 46%', 'Euphoric 40%', 'Uplifted 40%', 'Hungry 32%']","['Stress 40%', 'Pain 29%', 'Anxiety 28%', 'Depression 16%', 'Insomnia 15%']","['Dry mouth 32%', 'Dry eyes 23%', 'Dizzy 9%', 'Paranoid 8%', 'Headache 7%']",sweet kush
Caramel Candy Kush,THC Dominant,,,,-0.1477,"['Happy 65%', 'Relaxed 60%', 'Euphoric 44%', 'Uplifted 39%', 'Creative 36%']","['Stress 26%', 'Depression 23%', 'Pain 23%', 'Anxiety 21%', 'Lack of appetite 18%']","['Dry mouth 10%', 'Anxious 2%', 'Dizzy 2%', 'Paranoid 2%']",caramel candy kush
Afcrack,THC Dominant,,,,,,,,afcrack
Kushadelic,THC Dominant,,,,,,,,kushadelic
Acid,,,,,0.7909999999999999,"['Happy 95%', 'Creative 70%', 'Euphoric 65%', 'Energetic 55%', 'Relaxed 35%']","['Stress 50%', 'Depression 30%', 'Nausea 30%', 'Insomnia 20%', 'Pain 20%']","['Dry eyes 30%', 'Dry mouth 30%', 'Anxious 5%', 'Dizzy 5%', 'Headache 5%']",acid
Rene Mist,THC Dominant,,,,,,,,rene mist
Afghan Kush,THC Dominant,14–19% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.7857,"['Relaxed 51%', 'Sleepy 47%', 'Happy 45%', 'Hungry 42%', 'Euphoric 42%']","['Stress 40%', 'Pain 33%', 'Anxiety 31%', 'Insomnia 29%', 'Depression 20%']","['Dry mouth 46%', 'Dry eyes 30%', 'Dizzy 12%', 'Paranoid 9%', 'Headache 6%']",afghan kush
OG's Pearl,THC Dominant,,,,-0.9788,,,,og's pearl
Mango Kush,THC Dominant,16–21% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",0.0701,"['Happy 62%', 'Relaxed 50%', 'Euphoric 46%', 'Uplifted 40%', 'Giggly 34%']","['Stress 35%', 'Anxiety 25%', 'Depression 22%', 'Pain 20%', 'Insomnia 15%']","['Dry mouth 35%', 'Dry eyes 23%', 'Dizzy 9%', 'Paranoid 7%', 'Headache 4%']",mango kush
Tangerine Man,THC Dominant,,,,,,,,tangerine man
Haze Berry,THC Dominant,18–21% THC,< 1% CBD,,0.8503,"['Energetic 85%', 'Euphoric 76%', 'Happy 71%', 'Creative 66%', 'Relaxed 66%']","['Depression 42%', 'Stress 38%', 'Pain 33%', 'Fatigue 28%', 'Anxiety 28%']","['Dry mouth 47%', 'Anxious 19%', 'Paranoid 19%', 'Dizzy 14%', 'Dry eyes 14%']",haze berry
Strawberry Satori,THC Dominant,16–20% THC,< 1% CBD,,0.7336,,,,strawberry satori
Sugar Plum Sunset,THC Dominant,,,,,,,,sugar plum sunset
Critical Skunk,THC Dominant,,,,,,,,critical skunk
Mad Dawg,THC Dominant,15–18% THC,< 1% CBD,,-0.3131,"['Happy 57%', 'Euphoric 52%', 'Relaxed 52%', 'Uplifted 36%', 'Creative 31%']","['Stress 42%', 'Depression 21%', 'Insomnia 21%', 'Pain 15%', 'Headaches 10%']","['Dry mouth 21%', 'Dry eyes 15%', 'Headache 10%', 'Anxious 5%']",mad dawg
L.A. Sunshine,THC Dominant,,,,,,,,l.a. sunshine
Skins Skunk,THC Dominant,,,,,,,,skins skunk
Space Cream,THC Dominant,,,,0.2938,,,,space cream
The Doctor,THC Dominant,,,,-0.7672,"['Relaxed 65%', 'Euphoric 47%', 'Happy 43%', 'Sleepy 43%', 'Giggly 39%']","['Pain 47%', 'Stress 39%', 'Insomnia 34%', 'Inflammation 26%', 'Depression 21%']","['Dry mouth 30%', 'Dry eyes 21%', 'Anxious 4%', 'Dizzy 4%', 'Paranoid 4%']",the doctor
Golden State Banana,THC Dominant,,,,-0.7507,,,,golden state banana
Red Eye OG,,,,,-0.9745,"['Relaxed 81%', 'Sleepy 63%', 'Happy 59%', 'Euphoric 36%', 'Giggly 36%']","['Insomnia 59%', 'Stress 50%', 'Anxiety 36%', 'Pain 27%', 'Depression 22%']","['Dry eyes 22%', 'Dry mouth 18%', 'Dizzy 9%', 'Anxious 4%', 'Headache 4%']",red eye og
Truffle Butter,THC Dominant,,,,,,,,truffle butter
Cherry Sauce,THC Dominant,,,,,,,,cherry sauce
Grand Doggy Purps,THC Dominant,,,,-0.3774,"['Relaxed 72%', 'Happy 57%', 'Euphoric 42%', 'Uplifted 40%', 'Hungry 30%']","['Stress 60%', 'Pain 55%', 'Inflammation 42%', 'Depression 37%', 'Anxiety 35%']","['Dry mouth 32%', 'Anxious 10%', 'Dry eyes 5%', 'Paranoid 5%', 'Dizzy 2%']",grand doggy purps
Punto Rojo (Tierra Adentro),THC Dominant,,,,,,,,punto rojo
Orient Express,THC Dominant,,,,,,,,orient express
Neptune Kush,THC Dominant,,,,-0.1291,"['Relaxed 69%', 'Creative 53%', 'Happy 53%', 'Uplifted 53%', 'Euphoric 46%']","['Stress 53%', 'Depression 46%', 'Insomnia 38%', 'Pain 30%', 'Lack of appetite 15%']","['Dry mouth 46%', 'Headache 30%', 'Dry eyes 23%', 'Anxious 7%', 'Dizzy 7%']",neptune kush
The Guice,THC Dominant,15–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",,,,,the guice
Purple Widow,THC Dominant,,,,-0.4242,"['Relaxed 85%', 'Happy 60%', 'Euphoric 42%', 'Giggly 42%', 'Hungry 39%']","['Depression 39%', 'Pain 35%', 'Stress 35%', 'Anxiety 35%', 'Fatigue 21%']","['Dry mouth 50%', 'Dry eyes 14%', 'Anxious 3%', 'Dizzy 3%']",purple widow
LSD,THC Dominant,14–19% THC,< 1% CBD,"['Terpinolene', 'Pinene', 'Myrcene']",0.4783,"['Euphoric 64%', 'Happy 61%', 'Uplifted 52%', 'Relaxed 51%', 'Creative 42%']","['Stress 40%', 'Depression 31%', 'Anxiety 30%', 'Pain 29%', 'Insomnia 14%']","['Dry mouth 34%', 'Dry eyes 19%', 'Dizzy 9%', 'Paranoid 7%', 'Anxious 6%']",lsd
Sugar Calyx,THC Dominant,,,,,,,,sugar calyx
Golden Goat,THC Dominant,16–20% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Myrcene']",0.8097,"['Happy 60%', 'Uplifted 53%', 'Euphoric 52%', 'Relaxed 44%', 'Energetic 43%']","['Stress 38%', 'Depression 30%', 'Anxiety 26%', 'Pain 23%', 'Fatigue 15%']","['Dry mouth 26%', 'Dry eyes 14%', 'Paranoid 5%', 'Dizzy 5%', 'Anxious 3%']",golden goat
Ash,THC Dominant,,,,,,,,ash
Mystery Jazz,THC Dominant,,,,,,,,mystery jazz
Frostbite,THC Dominant,,,,-0.0369,"['Happy 73%', 'Relaxed 68%', 'Uplifted 47%', 'Euphoric 42%', 'Focused 36%']","['Inflammation 21%', 'Lack of appetite 21%', 'Depression 15%', 'Insomnia 15%', 'Pain 15%']","['Dry mouth 26%', 'Dizzy 15%', 'Dry eyes 15%', 'Headache 5%']",frostbite
818 OG,THC Dominant,,,,-0.8312,,,,818 og
Stella Blue,THC Dominant,,,,0.8036,,,,stella blue
Elphinstone,THC Dominant,,,,,,,,elphinstone
Legendary Lemon,THC Dominant,,,,,,,,legendary lemon
Samoa Kush,THC Dominant,17–21% THC,< 1% CBD,,,,,,samoa kush
Hashbar OG,THC Dominant,,,,,,,,hashbar og
Golden Gage,THC Dominant,,,,,,,,golden gage
Everlast,THC Dominant,,,,,,,,everlast
ArcticBlue,THC Dominant,,,,0.2269,,,,arcticblue
Blackberry Rhino,THC Dominant,,,,-0.6936,"['Relaxed 84%', 'Happy 52%', 'Uplifted 36%', 'Creative 26%', 'Euphoric 26%']","['Pain 36%', 'Stress 36%', 'Anxiety 31%', 'Insomnia 26%', 'Muscle spasms 26%']","['Dry mouth 21%', 'Dry eyes 15%', 'Anxious 10%', 'Dizzy 5%', 'Paranoid 5%']",blackberry rhino
Khalifa Kush,THC Dominant,19–20% THC,< 1% CBD,,0.3128,"['Happy 63%', 'Relaxed 61%', 'Euphoric 51%', 'Uplifted 50%', 'Creative 39%']","['Stress 32%', 'Depression 28%', 'Pain 23%', 'Anxiety 20%', 'Lack of appetite 15%']","['Dry mouth 22%', 'Dry eyes 13%', 'Dizzy 5%', 'Anxious 3%', 'Paranoid 3%']",khalifa kush
Jupiter OG,THC Dominant,,,,-0.8446,"['Relaxed 61%', 'Sleepy 49%', 'Euphoric 44%', 'Happy 40%', 'Hungry 29%']","['Insomnia 40%', 'Pain 39%', 'Stress 35%', 'Anxiety 25%', 'Depression 24%']","['Dry mouth 25%', 'Dry eyes 24%', 'Dizzy 6%', 'Paranoid 6%', 'Headache 2%']",jupiter og
Jenni,THC Dominant,,,,,,,,jenni
Green Candy,THC Dominant,14–17% THC,< 1% CBD,"['Myrcene', 'Ocimene', 'Caryophyllene']",0.8186,"['Happy 64%', 'Energetic 50%', 'Euphoric 49%', 'Uplifted 49%', 'Relaxed 45%']","['Stress 41%', 'Anxiety 32%', 'Depression 27%', 'Pain 26%', 'Fatigue 15%']","['Dry mouth 30%', 'Dry eyes 11%', 'Dizzy 6%', 'Paranoid 3%', 'Headache 1%']",green candy
Birds of Paradise,THC Dominant,17–19% THC,< 1% CBD,,,,,,birds of paradise
Kona Gold,THC Dominant,15–18% THC,< 1% CBD,,0.9843,,,,kona gold
Green Dragon,THC Dominant,19–22% THC,< 1% CBD,,-0.631,"['Relaxed 56%', 'Euphoric 37%', 'Happy 36%', 'Uplifted 31%', 'Sleepy 20%']","['Stress 25%', 'Pain 18%', 'Anxiety 18%', 'Depression 15%', 'Lack of appetite 10%']","['Dry mouth 15%', 'Dizzy 12%', 'Dry eyes 6%', 'Anxious 3%', 'Headache 3%']",green dragon
831 OG,THC Dominant,,,,,,,,831 og
Lemon OG Kush,THC Dominant,16–22% THC,< 1% CBD,,-0.4205,"['Relaxed 60%', 'Happy 51%', 'Euphoric 43%', 'Uplifted 37%', 'Creative 30%']","['Stress 27%', 'Anxiety 25%', 'Pain 24%', 'Depression 18%', 'Insomnia 17%']","['Dry mouth 28%', 'Dry eyes 15%', 'Dizzy 6%', 'Paranoid 5%', 'Anxious 5%']",lemon og kush
Treasure Island,,,,,0.1503,"['Relaxed 81%', 'Focused 59%', 'Uplifted 45%', 'Happy 40%', 'Energetic 31%']","['Stress 50%', 'Anxiety 45%', 'Pain 40%', 'Depression 31%', 'Inflammation 27%']","['Dry mouth 22%', 'Anxious 4%', 'Dry eyes 4%']",treasure island
CBD Kush,Balanced THC/CBD,5–9% THC,6–10% CBD,,-0.7744,"['Relaxed 76%', 'Happy 63%', 'Focused 42%', 'Uplifted 34%', 'Euphoric 23%']","['Pain 57%', 'Stress 52%', 'Anxiety 47%', 'Inflammation 44%', 'Depression 36%']","['Dry mouth 18%', 'Anxious 5%', 'Dizzy 5%', 'Dry eyes 5%', 'Paranoid 5%']",cbd kush
The Void,THC Dominant,,,,0.484,"['Euphoric 54%', 'Happy 52%', 'Relaxed 52%', 'Uplifted 52%', 'Creative 30%']","['Stress 43%', 'Depression 39%', 'Anxiety 30%', 'Pain 23%', 'Fatigue 21%']","['Dry mouth 34%', 'Paranoid 10%', 'Dizzy 8%', 'Dry eyes 8%', 'Headache 4%']",the void
Mazari,THC Dominant,,,,,,,,mazari
Albert Walker,THC Dominant,14–19% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",-0.7055,"['Relaxed 79%', 'Happy 73%', 'Euphoric 57%', 'Hungry 44%', 'Focused 28%']","['Pain 36%', 'Stress 34%', 'Anxiety 32%', 'Depression 30%', 'Insomnia 26%']","['Dry mouth 16%', 'Dry eyes 10%', 'Headache 8%', 'Dizzy 4%', 'Paranoid 4%']",albert walker
Chocolate Meringue,THC Dominant,,,,,,,,chocolate meringue
Chairman Chem Sou,THC Dominant,,,,,,,,chairman chem sou
Frozen Tangerines,THC Dominant,15–16% THC,< 1% CBD,,,,,,frozen tangerines
Shark Bite,THC Dominant,,,,,,,,shark bite
Jamba Juice,THC Dominant,,,,,,,,jamba juice
Opium,THC Dominant,,,,,,,,opium
Bloodwalker,THC Dominant,,,,0.4532,,,,bloodwalker
Rainbow Jones,THC Dominant,,,,,,,,rainbow jones
Afghan Hawaiian,THC Dominant,,,,,,,,afghan hawaiian
God's Gift,THC Dominant,14–17% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",-0.7458,"['Relaxed 62%', 'Happy 53%', 'Euphoric 48%', 'Sleepy 40%', 'Uplifted 34%']","['Stress 40%', 'Anxiety 32%', 'Pain 31%', 'Insomnia 29%', 'Depression 21%']","['Dry mouth 33%', 'Dry eyes 21%', 'Dizzy 7%', 'Paranoid 6%', 'Headache 4%']",god's gift
Afpak,THC Dominant,,,,,,,,afpak
Krishna Kush,THC Dominant,,,,,,,,krishna kush
Alice in Wonderland,THC Dominant,,,,0.7246,"['Happy 62%', 'Euphoric 59%', 'Relaxed 50%', 'Creative 49%', 'Uplifted 46%']","['Stress 32%', 'Depression 31%', 'Anxiety 24%', 'Fatigue 21%', 'ADD/ADHD 16%']","['Dry mouth 21%', 'Dry eyes 10%', 'Anxious 5%', 'Paranoid 5%', 'Dizzy 2%']",alice in wonderland
Blue Goo,THC Dominant,,,,0.5802,"['Happy 69%', 'Euphoric 59%', 'Uplifted 52%', 'Relaxed 46%', 'Creative 39%']","['Stress 52%', 'Anxiety 40%', 'Depression 31%', 'Pain 31%', 'Insomnia 17%']","['Dry mouth 46%', 'Dry eyes 25%', 'Headache 10%', 'Dizzy 6%', 'Paranoid 6%']",blue goo
Ace Killer OG,,,,,-0.9562,,,,ace killer og
Tina,THC Dominant,16–21% THC,< 1% CBD,,,,,,tina
Grease Monkey,THC Dominant,19–24% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.7545,"['Relaxed 72%', 'Euphoric 50%', 'Happy 48%', 'Sleepy 36%', 'Uplifted 35%']","['Stress 33%', 'Pain 29%', 'Anxiety 24%', 'Insomnia 21%', 'Depression 20%']","['Dry mouth 22%', 'Dry eyes 11%', 'Dizzy 2%', 'Anxious 2%', 'Headache 1%']",grease monkey
Bloo's Kloos,THC Dominant,,,,,,,,bloo's kloos
Sour Jilly,THC Dominant,,,,,,,,sour jilly
Afghan Sour Kush,THC Dominant,,,,,,,,afghan sour kush
C13 Haze,THC Dominant,,,,,,,,c13 haze
Florida OG,THC Dominant,19–22% THC,< 1% CBD,,,,,,florida og
Sour Willie,THC Dominant,,,,0.9389,"['Happy 70%', 'Energetic 58%', 'Euphoric 58%', 'Uplifted 54%', 'Relaxed 35%']","['Lack of appetite 35%', 'Depression 32%', 'Pain 29%', 'Stress 29%', 'Anxiety 25%']","['Dry mouth 25%', 'Dry eyes 22%', 'Headache 9%', 'Anxious 6%', 'Dizzy 3%']",sour willie
Atomic Goat,THC Dominant,,,,,,,,atomic goat
Cosmic Collision,THC Dominant,,,,,,,,cosmic collision
Ghost Ship,THC Dominant,,,,,,,,ghost ship
Electric Black Mamba,THC Dominant,,,,,,,,electric black mamba
Green Monster,,,,,0.0242,"['Happy 57%', 'Uplifted 44%', 'Euphoric 42%', 'Relaxed 42%', 'Sleepy 37%']","['Stress 42%', 'Anxiety 33%', 'Depression 28%', 'Fatigue 20%', 'Pain 20%']","['Dry mouth 51%', 'Dry eyes 28%', 'Headache 8%', 'Paranoid 8%', 'Dizzy 6%']",green monster
