Name,Race,Flavor,Positive effects,Negative effects,Medical effects
Banana OG,hybrid,"['Sweet', 'Earthy', 'Flowery']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']"
Banana Peel,hybrid,"['Sweet', 'Tree Fruit', 'Pear']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",[],"['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Bananas,hybrid,"['Tropical', 'Tree Fruit', 'Chemical']","['Relaxed', 'Hungry', 'Happy', 'Uplifted', 'Focused']",[],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']"
Bandana,hybrid,"['Earthy', 'Pungent', 'Woody']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Tingly']",[],"['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Bango,hybrid,"['Earthy', 'Lime', 'Pungent']","['Euphoric', 'Creative', 'Energetic', 'Focused', 'Giggly']",[],[]
Barbara Bud,indica,"['Earthy', 'Spicy/Herbal', 'Woody']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Muscle Spasms']"
Batman OG,indica,"['Skunk', 'Sweet', 'Tropical']","['Relaxed', 'Happy', 'Creative', 'Sleepy', 'Giggly']",[],"['Depression', 'Insomnia', 'Lack of Appetite', 'Eye Pressure']"
Bay 11,sativa,"['Earthy', 'Sweet', 'Citrus']","['Relaxed', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Inflammation', 'Spasticity']"
Bay Dream,sativa,"['Citrus', 'Earthy', 'Pungent']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']"
Beastmode 2.0,indica,"['Sweet', 'Berry', 'Citrus']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']",[],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Beastmode OG,hybrid,"['Earthy', 'Apricot', 'Cheese']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Bedford Glue,hybrid,"['Earthy', 'Flowery', 'Grape']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Giggly']",[],"['Pain', 'Lack of Appetite', 'Inflammation', 'Seizures', 'Muscle Spasms']"
Bedica,indica,"['Chemical', 'Spicy/Herbal', 'Nutty']","['Relaxed', 'Hungry', 'Happy', 'Tingly', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Insomnia', 'Pain', 'Lack of Appetite', 'Headache', 'Headaches', 'Inflammation']"
Bediol,sativa,"['Citrus', 'Pine', 'Lemon']","['Relaxed', 'Happy', 'Creative', 'Energetic', 'Uplifted']",[],"['Pain', 'Stress', 'Nausea', 'Fatigue', 'Inflammation']"
Bell Ringer,indica,"['Citrus', 'Pungent', 'Sweet']","['Relaxed', 'Hungry', 'Sleepy']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Lack of Appetite', 'Nausea']"
Belladonna,hybrid,"['Peach', 'Earthy', 'Butter']","['Euphoric', 'Happy', 'Uplifted', 'Sleepy', 'Giggly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']"
Berkeley,sativa,"['Sweet', 'Earthy', 'Pine']","['Happy', 'Creative', 'Energetic', 'Uplifted']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']"
Berry Bomb,hybrid,"['Berry', 'Sweet', 'Earthy']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Creative']","['Dizzy', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Headache', 'Headaches']"
Berry Noir,indica,"['Berry', 'Earthy', 'Ammonia']","['Relaxed', 'Hungry', 'Euphoric', 'Sleepy', 'Focused']",[],"['Insomnia', 'Stress', 'Nausea', 'Inflammation', 'Muscle Spasms']"
Berry OG,hybrid,"['Berry', 'Apple', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Sleepy']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']"
Berry White,indica,"['Berry', 'Sweet', 'Blueberry']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']"
Bertberry Cheesecake,sativa,"['Blueberry', 'Cheese', 'Berry']","['Euphoric', 'Creative', 'Energetic', 'Uplifted', 'Focused']",[],"['Depression', 'Insomnia', 'Stress', 'Cramps', 'Headaches']"
Bettie Page,hybrid,"['Cheese', 'Diesel', 'Pungent']","['Relaxed', 'Happy', 'Creative', 'Energetic', 'Uplifted']",['Dizzy'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']"
Bhang 007 OG,indica,"['Earthy', 'Pine', 'Woody']","['Relaxed', 'Hungry', 'Tingly', 'Sleepy']",['Anxious'],"['Insomnia', 'Pain', 'Nausea', 'Fatigue', 'Headaches']"
Bhang Afgoo,indica,"['Earthy', 'Chemical', 'Diesel']","['Relaxed', 'Creative', 'Tingly', 'Aroused']",['Dry Mouth'],"['Depression', 'Insomnia', 'Pain', 'Lack of Appetite', 'Fatigue']"
Bhang Arjan's Strawberry Haze,sativa,['Strawberry'],"['Happy', 'Talkative']",['Dry Mouth'],[]
