Name,Race,Flavor,Positive effects,Negative effects,Medical effects
Catfish,sativa,"['Earthy', 'Ammonia', 'Chemical']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']",[],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']"
Cello Sweet OG,hybrid,"['Sweet', 'Honey', 'Pineapple']","['Relaxed', 'Euphoric', 'Creative', 'Sleepy']",['Dizzy'],['Fatigue']
Central American,sativa,"['Earthy', 'Butter', 'Diesel']","['Relaxed', 'Hungry', 'Euphoric', 'Happy']",['Dry Mouth'],"['Pain', 'Stress', 'Headaches']"
Cerebro Haze,sativa,"['Citrus', 'Pepper', 'Vanilla']","['Relaxed', 'Happy', 'Creative', 'Uplifted']",['Dry Eyes'],"['Depression', 'Stress', 'Lack of Appetite']"
Chairman Chem Sou,hybrid,"['Chemical', 'Citrus', 'Diesel']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']",[],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']"
Champagne Kush,hybrid,"['Earthy', 'Sweet', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Talkative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Cramps', 'Nausea', 'Headache']"
Charlie Sheen,hybrid,"['Sweet', 'Citrus', 'Blueberry']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Headaches', 'Eye Pressure']"
Charlotte's Web,sativa,"['Pine', 'Earthy', 'Sweet']","['Relaxed', 'Happy', 'Uplifted', 'Sleepy', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']"
Cheese,hybrid,"['Cheese', 'Pungent', 'Earthy']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']"
Cheese Candy,hybrid,"['Cheese', 'Earthy', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Talkative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Cheese Quake,hybrid,"['Cheese', 'Earthy', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Headache', 'Headaches', 'Inflammation']"
Cheeseburger,hybrid,"['Earthy', 'Cheese', 'Coffee']","['Relaxed', 'Uplifted', 'Tingly', 'Giggly']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Eye Pressure', 'Inflammation']"
Cheesewreck,hybrid,"['Cheese', 'Blue Cheese', 'Woody']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Giggly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']"
Chem Crush,hybrid,"['Sweet', 'Earthy', 'Pungent']","['Happy', 'Creative', 'Energetic', 'Talkative', 'Uplifted']",[],"['Depression', 'Pain', 'Lack of Appetite']"
Chem D.O.G.,indica,"['Citrus', 'Earthy', 'Lemon']","['Relaxed', 'Hungry', 'Happy', 'Sleepy']",['Dry Mouth'],"['Depression', 'Insomnia', 'Pain', 'Stress']"
Chem Scout,indica,"['Earthy', 'Sweet', 'Skunk']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']"
Chem Valley Kush,hybrid,"['Earthy', 'Flowery', 'Grape']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']"
Chem's Sister,sativa,"['Chemical', 'Pungent', 'Citrus']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Focused']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Eye Pressure']"
ChemWreck,hybrid,"['Diesel', 'Chemical', 'Pungent']","['Happy', 'Energetic', 'Talkative', 'Uplifted', 'Giggly']",[],"['Depression', 'Pain', 'Stress', 'Headaches', 'Inflammation']"
Chemdawg,hybrid,"['Diesel', 'Earthy', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']"
Chemdawg #4 x Alien OG Kush,hybrid,"['Skunk', 'Earthy', 'Citrus']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Chemdawg 4,hybrid,"['Pungent', 'Pine', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Aroused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Headaches', 'Muscle Spasms']"
Chemdawg 91,hybrid,"['Pungent', 'Earthy', 'Diesel']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']"
Chemdawg Sour Diesel,hybrid,"['Diesel', 'Earthy', 'Pungent']","['Relaxed', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Chemmy Jones,hybrid,"['Diesel', 'Earthy', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Chemnesia,hybrid,"['Citrus', 'Diesel', 'Lemon']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']",[],"['Depression', 'Pain', 'Fatigue', 'Headaches', 'Inflammation']"
Chemo,indica,"['Earthy', 'Pungent', 'Woody']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']"
Chernobyl,hybrid,"['Citrus', 'Lime', 'Lemon']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Headaches']"
Cherries Jubilee,indica,"['Berry', 'Sweet', 'Tree Fruit']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']"
Cherry AK-47,hybrid,"['Sweet', 'Berry', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Headaches']"
Cherry Bomb,hybrid,"['Citrus', 'Flowery', 'Violet']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']"
Cherry Cookies,hybrid,"['Berry', 'Sweet', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']",[],"['Depression', 'Pain', 'Cramps', 'Lack of Appetite', 'Nausea']"
Cherry Cream Pie,hybrid,"['Pungent', 'Sweet', 'Citrus']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Uplifted']",[],"['Depression', 'Lack of Appetite']"
Cherry Diesel,hybrid,"['Berry', 'Sweet', 'Diesel']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']",['Dizzy'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']"
Cherry Durban Poison,hybrid,"['Berry', 'Sweet', 'Pungent']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Talkative']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Headache', 'Headaches', 'Inflammation']"
Cherry Grapefruit,hybrid,"['Berry', 'Butter', 'Grape']","['Relaxed', 'Happy', 'Creative', 'Focused']",[],"['Stress', 'Cramps', 'Lack of Appetite']"
Cherry Kola,indica,"['Berry', 'Sweet', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Cherry Kush,hybrid,"['Berry', 'Earthy', 'Pungent']","['Relaxed', 'Hungry', 'Euphoric', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Headache', 'Inflammation', 'Muscle Spasms']"
Cherry Limeade,hybrid,"['Berry', 'Sweet', 'Citrus']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",['Dry Mouth'],"['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Inflammation']"
Cherry OG,hybrid,"['Berry', 'Earthy', 'Diesel']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dry Mouth', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Muscle Spasms']"
Cherry Pie,hybrid,"['Sweet', 'Berry', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']"
Cherry Pie Kush,hybrid,"['Berry', 'Earthy', 'Sweet']","['Euphoric', 'Happy', 'Talkative', 'Uplifted', 'Sleepy']","['Dizzy', 'Paranoid', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']"
Cherry Sauce,hybrid,"['Butter', 'Flowery', 'Spicy/Herbal']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Focused']","['Dry Mouth', 'Dry Eyes']",[]
Cherry Sherbet,hybrid,"['Sweet', 'Diesel', 'Pungent']","['Relaxed', 'Hungry', 'Sleepy', 'Giggly']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Cramps', 'Lack of Appetite']"
Cherry Skunk,hybrid,"['Sweet', 'Berry', 'Skunk']","['Relaxed', 'Euphoric', 'Creative', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']"
Cherry Thunder Fuck,hybrid,"['Earthy', 'Berry', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Aroused']",[],"['Depression', 'Pain', 'Stress', 'Fatigue', 'Muscle Spasms']"
Chiesel,hybrid,"['Cheese', 'Diesel', 'Pungent']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches']"
China Yunnan,indica,"['Earthy', 'Cheese', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Headaches']"
Chiquita Banana,hybrid,"['Sweet', 'Orange', 'Citrus']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Muscle Spasms']"
Chloe,hybrid,"['Sweet', 'Earthy', 'Spicy/Herbal']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",['Dry Eyes'],"['Depression', 'Insomnia', 'Pain', 'Inflammation', 'Muscle Spasms']"
Chocolate Chunk,indica,"['Earthy', 'Sweet', 'Woody']","['Relaxed', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']"
Chocolate Diesel,sativa,"['Diesel', 'Nutty', 'Pine']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']"
Chocolate Drop,hybrid,"['Earthy', 'Vanilla']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly']",[],"['Depression', 'Stress']"
Chocolate Fondue,sativa,"['Cheese', 'Earthy', 'Sweet']","['Euphoric', 'Happy', 'Creative', 'Uplifted', 'Focused']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Stress', 'Lack of Appetite', 'Nausea', 'Fatigue']"
Chocolate Hashberry,hybrid,"['Berry', 'Sweet', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']"
Chocolate Kush,indica,"['Earthy', 'Coffee', 'Tea']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']"
Chocolate OG,indica,"['Sweet', 'Earthy', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']",[],"['Depression', 'Pain', 'Stress', 'Headaches', 'Inflammation']"
Chocolate Thai,sativa,"['Spicy/Herbal', 'Earthy', 'Woody']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']"
Chocolate Thunder,sativa,"['Honey', 'Nutty', 'Apricot']","['Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused']","['Dry Mouth', 'Paranoid']","['Depression', 'Stress', 'Fatigue', 'Headaches', 'Inflammation']"
Chocolope,sativa,"['Coffee', 'Earthy', 'Sweet']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Muscle Spasms']"
Chocolope Kush,hybrid,"['Earthy', 'Pungent', 'Pine']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Headache', 'Inflammation', 'Muscle Spasms']"
Chong Star,hybrid,"['Earthy', 'Honey', 'Flowery']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused']",[],"['Depression', 'Pain', 'Stress', 'Nausea', 'Headaches']"
Chronic,hybrid,"['Skunk', 'Woody', 'Pungent']","['Happy', 'Energetic', 'Talkative', 'Uplifted', 'Giggly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Chronic Thunder,indica,"['Diesel', 'Pungent', 'Earthy']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Muscle Spasms']"
Chucky's Bride,hybrid,"['Ammonia', 'Butter', 'Cheese']","['Happy', 'Creative', 'Giggly', 'Aroused']",['Dry Mouth'],"['Depression', 'Insomnia', 'Pain', 'Stress']"
Chunky Diesel,hybrid,"['Diesel', 'Earthy', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']",[],"['Depression', 'Pain', 'Stress', 'Fatigue', 'Inflammation']"
Chupacabra,hybrid,"['Earthy', 'Vanilla', 'Nutty']","['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Focused']",[],"['Depression', 'Pain', 'Stress', 'Nausea', 'Headaches']"
Church OG,indica,"['Earthy', 'Woody', 'Spicy/Herbal']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Insomnia', 'Pain', 'Stress', 'Fatigue', 'Spasticity']"
Cinderella 99,hybrid,"['Sweet', 'Citrus', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Cinderella's Dream,hybrid,"['Sweet', 'Berry', 'Tropical']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Cindy White,hybrid,"['Earthy', 'Pungent', 'Berry']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']",['Dry Mouth'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']"
Cinex,sativa,"['Citrus', 'Earthy', 'Sweet']","['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Focused']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches']"
Cirrus,sativa,"['Diesel', 'Menthol', 'Pungent']","['Euphoric', 'Creative', 'Talkative', 'Giggly']",['Dry Mouth'],"['Depression', 'Nausea', 'Fatigue', 'Headaches', 'Inflammation']"
Citrix,hybrid,"['Citrus', 'Grapefruit', 'Orange']","['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Aroused']","['Dry Mouth', 'Paranoid', 'Anxious']","['Depression', 'Stress', 'Lack of Appetite', 'Nausea', 'Fatigue']"
Citrus Kush,hybrid,"['Citrus', 'Lemon', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache', 'Fatigue']"
Citrus Punch,sativa,"['Citrus', 'Orange', 'Mango']","['Happy', 'Energetic', 'Focused']","['Dizzy', 'Dry Mouth', 'Anxious']","['Depression', 'Fatigue']"
Citrus Sap,hybrid,"['Citrus', 'Orange', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Headache', 'Headaches', 'Inflammation']"
Citrus Sunshine Haze,hybrid,"['Citrus', 'Orange', 'Lemon']","['Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Clementine,sativa,"['Citrus', 'Orange', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Headaches']"
Clementine Kush,hybrid,"['Citrus', 'Earthy', 'Flowery']","['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Giggly']","['Dizzy', 'Paranoid', 'Anxious']","['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Inflammation']"
Clockwork Orange,hybrid,"['Citrus', 'Lemon', 'Orange']","['Relaxed', 'Hungry', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite']"
Cloud 9,hybrid,"['Flowery', 'Pine', 'Rose']","['Relaxed', 'Happy', 'Energetic', 'Talkative', 'Giggly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']"
Club 69,indica,"['Diesel', 'Earthy', 'Flowery']","['Relaxed', 'Sleepy']",[],"['Pain', 'Stress']"
Cluster Bomb,hybrid,['Sweet'],"['Relaxed', 'Euphoric', 'Energetic', 'Focused']",['Dizzy'],"['Stress', 'Headaches']"
Cold Creek Kush,hybrid,"['Earthy', 'Woody', 'Pine']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Muscle Spasms']"
Colombian Gold,sativa,"['Earthy', 'Pungent', 'Citrus']","['Euphoric', 'Happy', 'Energetic', 'Talkative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']"
Colombian Mojito,sativa,"['Citrus', 'Lime', 'Minty']","['Euphoric', 'Creative', 'Energetic', 'Aroused']",['Anxious'],"['Pain', 'Nausea', 'Headaches']"
Colorado Bubba,indica,"['Mango', 'Pineapple', 'Nutty']","['Relaxed', 'Happy', 'Uplifted', 'Sleepy']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Muscle Spasms']"
Colorado Chem,hybrid,"['Skunk', 'Sweet', 'Citrus']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Giggly']",['Dry Mouth'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']"
Colorado Clementines,indica,"['Citrus', 'Lemon', 'Orange']","['Relaxed', 'Hungry', 'Euphoric', 'Creative', 'Sleepy']",[],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Commerce City Kush,indica,"['Diesel', 'Earthy', 'Pungent']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Creative']",[],"['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']"
Concord Grape Blockhead,hybrid,"['Grape', 'Sweet']","['Euphoric', 'Creative', 'Giggly']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Cramps', 'Lack of Appetite', 'Muscle Spasms']"
Confidential Cheese,indica,"['Cheese', 'Pine', 'Nutty']","['Relaxed', 'Hungry', 'Happy', 'Creative', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']"
Connie Chung,hybrid,"['Earthy', 'Pine', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Sleepy', 'Focused']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Conspiracy Kush,indica,"['Sweet', 'Earthy', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Creative']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Headaches', 'Inflammation']"
Cookie Breath,hybrid,"['Earthy', 'Sweet', 'Minty']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly']",[],"['Depression', 'Pain', 'Stress', 'Fatigue', 'Inflammation']"
Cookie Dough,hybrid,"['Earthy', 'Sweet', 'Pungent']","['Relaxed', 'Happy', 'Uplifted', 'Focused']",['Dry Eyes'],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']"
Cookie Jar,hybrid,"['Pungent', 'Earthy', 'Flowery']","['Relaxed', 'Hungry', 'Euphoric', 'Uplifted', 'Sleepy']",[],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']"
Cookie Monster,indica,"['Flowery', 'Sweet', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Insomnia', 'Pain', 'Stress', 'Headache', 'Eye Pressure', 'Spasticity']"
Cookie Wreck,hybrid,"['Sweet', 'Earthy', 'Woody']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Focused']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Muscle Spasms']"
Cookies Kush,indica,"['Sweet', 'Pungent', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']"
Cookies and Cream,hybrid,"['Sweet', 'Vanilla', 'Nutty']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']"
Cookies and Dream,hybrid,"['Sweet', 'Tree Fruit', 'Blueberry']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']",[],"['Pain', 'Stress', 'Lack of Appetite', 'Fatigue', 'Headaches']"
Copper Kush,indica,"['Earthy', 'Pine', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']",['Dizzy'],"['Depression', 'Pain', 'Stress', 'Cramps', 'Headaches']"
Corleone Kush,indica,"['Skunk', 'Earthy', 'Spicy/Herbal']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Headache', 'Spasticity', 'Muscle Spasms']"
Cornbread,indica,"['Lemon', 'Citrus', 'Earthy']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Cosmic Collision,sativa,"['Sweet', 'Earthy', 'Minty']","['Euphoric', 'Happy', 'Energetic', 'Talkative', 'Uplifted']",[],[]
Cotton Candy Kush,hybrid,"['Sweet', 'Flowery', 'Berry']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Cotton Purple Chem,hybrid,"['Sweet', 'Earthy', 'Berry']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",[],"['Depression', 'Stress', 'Fatigue', 'Headaches', 'Muscle Spasms']"
Cracker Jack,sativa,"['Sweet', 'Earthy', 'Woody']","['Creative', 'Energetic', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
