Name,Brand,Rating,Price,Join_name
Baox,Discovery Garden,,,baox
Platinum Kush Breath,Boggy Boon,,,platinum kush breath
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
JACK       ,Snickle Fritz by Grow Op Farms,,,jack
Hash Haze,Terrapin Care Station,3.9,,hash haze
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Do-Si-Do (MED),High Winds Farm,,,do-si-do
China Berry,Aeriz,5.0,,china berry
Strawberry Creme,Grass Valley,,,strawberry creme
Little Buds: Grape Ape,Project M,,,little buds: grape ape
WB OG,Health For Life Flower,,,wb og
Burmese Kush,DOJA,,,burmese kush
Lavender Punch,Cookie Jar Cannabis,,,lavender punch
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Premium Jack ,Cooks Canna,5.0,,premium jack
Strawberry Fields Flower,MÜV Products,,,strawberry fields flower
Snoop's Dream Flower,Cannabis Nation Dispensaries,4.0,,snoop's dream flower
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
My Old Lady,Forbidden Farms,,,my old lady
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Dream Walker,Autumn Brands,5.0,,dream walker
Cookies and Cream ,Cooks Canna,4.0,,cookies and cream
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Gold Shelf Tangerine x Blue Power,LivWell,,,gold shelf tangerine x blue power
Agent Orange,Moani Naturals,,,agent orange
Sapphire Haze,Artizen Cannabis,,,sapphire haze
Gorilla Grape Vine,Arizona Organix,,,gorilla grape vine
3x Sour (1oz./28g) - Private Stock,Claybourne Co.,,,3x sour  - private stock
Ninja Le Pew Silver ,Trellis Farms,,,ninja le pew silver
Motorbreath,Talking Trees Farms,,,motorbreath
Gelato,Ataraxia,,,gelato
Bluezz Popcorn,Copperstate Farms,,,bluezz popcorn
Buttercup,Derp Farms,,,buttercup
Miracle Dream,Nature's,,,miracle dream
AJ Sour,Emerald Family Farms,5.0,,aj sour
Grape Ape Popcorn,Artizen Cannabis,,,grape ape popcorn
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Wifi OG Mini Buds,Driftboat,,,wifi og mini buds
Cherry,Elyon Cannabis,,,cherry
Beach Wedding #3,Prūf Cultivar,,,beach wedding #3
Mazur x White Rhino,Osage Creek Cultivation,,,mazur x white rhino
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Chernobyl,Red Frog Cannabis,5.0,,chernobyl
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Ice Cream Cake - Mid Shelf,Guest Strain,,,ice cream cake - mid shelf
Strawberry Fire (UGD Premium),Urban Greenhouse,,,strawberry fire
Relax,Flow Kana,,,relax
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Sour Diesel ,Applegate Valley Organics,,,sour diesel
Ogre OG Studio Flower,Marley Natural,,,ogre og studio flower
Mr. Clean ,matter.,4.3,,mr. clean
GHOST MINTS,Fireline Cannabis,,,ghost mints
Hash Haze,Terrapin Care Station,3.9,,hash haze
Roc OG,Korova,3.0,,roc og
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Hash Haze,Terrapin Care Station,3.9,,hash haze
Purple Punch,Copperstate Farms,,,purple punch
Fire OG,Cowlitz Gold,,,fire og
The Fudd,Nugreen,5.0,,the fudd
Tres Dawg,Artizen Cannabis,,,tres dawg
Cuban Linx,Frontier Farmers,,,cuban linx
Hash Haze,Terrapin Care Station,3.9,,hash haze
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Blue Chem,Abundant Organics,,,blue chem
Afghan Extreme Popcorn,TopShelf,,,afghan extreme popcorn
Jack Acid ,Nature's Grace and Wellness,4.0,,jack acid
White Strawberry Diesel,Good Chemistry,,,white strawberry diesel
Heavy Ooey Gooey,Applegate Valley Organics,,,heavy ooey gooey
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Hash Haze,Terrapin Care Station,3.9,,hash haze
Purple Punch ,House of Cultivar,,,purple punch
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Chocoloupe ,High Grade AZ,,,chocoloupe
Purple Punch,Arizona Organix,,,purple punch
Sour Cherries,Copperstate Farms,,,sour cherries
Cherry Wine CBD,Alter Farms,4.6,,cherry wine cbd
Kong,Arizona Organix,,,kong
Premium Jacks Cream,Arizona Organix,,,premium jacks cream
Fire OG,Artizen Cannabis,,,fire og
Burmese Kush,DOJA,,,burmese kush
Premium Tier Hot Cakes,TRU Infusion,,,premium tier hot cakes
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Garlic Breath,Veritas Farms,4.0,,garlic breath
OG Kush,Good Earth Cannabis,,,og kush
Purple Trainwreck,Good Chemistry,,,purple trainwreck
Snow Monster Mini Buds,Driftboat,,,snow monster mini buds
Banana OG,House of Cultivar,,,banana og
Grape Bare,Royal leaf,,,grape bare
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Garlicane,Fifty Fold,5.0,,garlicane
Chemdawg,Treedom,5.0,,chemdawg
Lemon Meringue,Freddy's Fuego,,,lemon meringue
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Cookie Monster,,,,cookie monster
Sweet Funk,Forbidden Farms,,,sweet funk
Slurricane,DTF - Downtown Flower,,,slurricane
White Fire,Emerald Jane's,,,white fire
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Professor Chaos,Tryke Companies,,,professor chaos
Christmas Cookies #2,SKöRD,,,christmas cookies #2
Acapulco Gold,SWC,,,acapulco gold
Scooby Snacks ,Arizona Organix,,,scooby snacks
