Name,Brand,Rating,Price,Join_name
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Vanilla Kush,DOJA,,,vanilla kush
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Velvet Kush,Clandestine Gardens,,,velvet kush
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Original Glue,Lotus Gold,,,original glue
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Diesel Dough,Culta,,,diesel dough
Sundae Driver,Korova,,,sundae driver
Motorbreath,House of Cultivar,,,motorbreath
Gandalf,Experience Organics,3.0,,gandalf
Sour Power OG- Prepackaged $8 Gram,Guest Strain,,,sour power og- prepackaged $8 gram
Frozen Dessert,C3,,,frozen dessert
Sour Diesel,Jet City Gardens,3.5,,sour diesel
Banana Sherbet Kush,RedBud Roots,,,banana sherbet kush
Gold - Pineapple Rising,Flow Kana,,,gold - pineapple rising
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Pacific Island,Pacific Reserve,,,pacific island
CBD Critical Mass,Harmony Grow,4.5,,cbd critical mass
Whipped Cherries,Korova,,,whipped cherries
Dutchy Flower (Mango OG),Dutchy,,,dutchy flower
Super Sour Diesel,Matrix NV,5.0,,super sour diesel
Hash Haze,Terrapin Care Station,3.9,,hash haze
Doctor Doctor,Vodis USA,,,doctor doctor
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Master OG,Bend Bud Company,,,master og
White Tahoe Cookies (REC),High Winds Farm,,,white tahoe cookies
Lemon OG,Omura,,40.0,lemon og
Sour Cyclone CBD,Vivid,,,sour cyclone cbd
Sunny D,GOLDLEAF,5.0,,sunny d
Do Si Dos - Alpine Vapor - Premium Cannabis Flower,Alpine Vapor,,,do si dos - alpine vapor - premium cannabis flower
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Strawberry Banana,Honeydew Farms,,,strawberry banana
Bruce Banner,Mayflower Medicinals,,,bruce banner
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Wedding Cake,Northwest Cannabis Solutions,,,wedding cake
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Cactido,Liberty,,,cactido
Panda Snax #23,Phat Panda by Grow Op Farms,,,panda snax #23
Gelato Strain CBD Hemp Flower,Industrial Hemp Farms - IHF LLC,,4.99,gelato strain cbd hemp flower
Royal Cherry Diesel,Arizona Organix,,,royal cherry diesel
Dominion G,LUVLI,,,dominion g
Now N Later Shake,Arizona Organix,,,now n later shake
Kimbo Kush,House of Cultivar,,,kimbo kush
Poontang Pie Mini Buds,Driftboat,,,poontang pie mini buds
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Hell's Fire,Magic Time Farms,,,hell's fire
Blueberry Haze,The Green Halo,,,blueberry haze
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Rose City Diesel,ITEM 9,,,rose city diesel
White Glue,Prūf Cultivar,,,white glue
Tangie 28g ,Top Shelf,,,tangie 28g
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Prime Magoo X Alaskan Blackberry,Aroma Cannabis,,,prime magoo x alaskan blackberry
Orange Creamsicle,Headlight,,,orange creamsicle
Gorilla Glue #4,Gabriel,,,gorilla glue #4
Forbidden Fruit,LUVLI,,,forbidden fruit
Big Kush,Bloom Cannabis,,,big kush
Face Melt OG Flower,Cloud 9 Farms,5.0,,face melt og flower
Arcata Trainwreck,Western Cultured by Hannah Industries,,,arcata trainwreck
Jenny Kush,Guest Strain,,,jenny kush
Dutch Treat Haze (Grams Only),Tryke Companies,,,dutch treat haze
Mako Haze,LivWell,5.0,,mako haze
White Tahoe Cookies (MED),High Winds Farm,,,white tahoe cookies
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Biscotti Pre-Packed Chillum 0.3g,"CommCan, Inc.",,,biscotti pre-packed chillum 0.3g
High Grade Blackberry Kush,Urban Greenhouse,,,high grade blackberry kush
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Heat Wave,The Cure,,,heat wave
Cannatonic,Calyx and Trichome Creations,,,cannatonic
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Thin Mint GSC Bronze Tier,Cannabis Nation Dispensaries,,,thin mint gsc bronze tier
Arise,Narvona,,,arise
Ghost Train Haze,Ilera Healthcare,,,ghost train haze
Secret Formula #2 (50/50 Hybrid),Patriot Care,,,secret formula #2
Hash Haze,Terrapin Care Station,3.9,,hash haze
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Haterade,Phat Panda by Grow Op Farms,4.5,,haterade
Gelato #33,verano,,,gelato #33
OG Kush,Canuvo,,,og kush
Blueberry Pie ,Outlaw Cannabis Company,,,blueberry pie
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Hell's Fire,Lowell Herb Co.,,,hell's fire
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Maui Kush,Pono Life Maui,4.0,,maui kush
Gelato Cake,District Cannabis,4.5,,gelato cake
Frosted Strawberries,Liberty Reach by BMF,,,frosted strawberries
Batch 45 Flower,Cloud 9 Farms,,,batch 45 flower
White Strawberry Skunk-Bronze Tier,SWC,,,white strawberry skunk-bronze tier
Original Glue (F.K.A. Gorilla Glue #4) ,Dawg Star,,,original glue
Bodega Bubble Gum Shake,Holistic Industries,,,bodega bubble gum shake
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Zerbert,Cali Kosher Cannabis,5.0,,zerbert
Motorbreath,Ataraxia,5.0,,motorbreath
Sour Berry,Western Cultured by Hannah Industries,,,sour berry
Gaswerx,Gold Leaf Gardens,,,gaswerx
Kali Kush,Cookies,,,kali kush
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Josh D O.G.,Tryke Companies,,,josh d o.g.
Golden Cherries ,Phat Panda by Grow Op Farms,3.0,,golden cherries
Grandpa's Breath,Cresco Cannabis,,,grandpa's breath
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Harlequin x GDP,Bloom Cannabis,,,harlequin x gdp
Diaper Dank,AZ Nectar Farms,3.5,,diaper dank
Peyote Cookies ,DTF - Downtown Flower,,,peyote cookies
Lemon Slushee,Arbors Wellness,5.0,,lemon slushee
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Lemon Trainwreck,Tryke Companies,,,lemon trainwreck
Connie Chung,Pagoda,,,connie chung
Black Jack,Sublime Brands,,,black jack
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Blueberry Cheesecake ,Dawg Star,,,blueberry cheesecake
Cactus OG,Arizona Organix,,,cactus og
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Blackberry Fire,Copperstate Farms,,,blackberry fire
Mob Boss,High Winds Farm,,,mob boss
Cream Cake,Aeriz,,,cream cake
Nectar Lime,Mother Magnolia Medicinals,4.0,,nectar lime
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Pineapple Upside Down Cake (1/8th/3.5g),Claybourne Co.,,,pineapple upside down cake
Ice Cream Man,Self Made Farms,,,ice cream man
Blueberry Muffins,TKO Reserve,,8.0,blueberry muffins
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
CloudCap,Maine Cannabis Exchange,,,cloudcap
Kusai,Arbors Wellness,,,kusai
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Strawberry Banana,Mass Alternative Care (Adult Use),,,strawberry banana
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Tang Tang Afghani,Revolutionary Clinics,5.0,,tang tang afghani
Sinderella,Grassroots Cannabis,5.0,,sinderella
Blueberry Headband,Sanctuary Medicinals,5.0,,blueberry headband
Sour Diesel,Sunday Goods,,,sour diesel
Jack's Bells,Bloom Cannabis,,,jack's bells
Big Bud,Curaleaf,,,big bud
Mambo Sauce,Grassroots Cannabis,,,mambo sauce
OG #18,Cresco Cannabis,,,og #18
NUG GG (f.k.a. Gorilla Glue) ,NUG,,,nug gg
Purple Mountain Majesty,Nature's,,,purple mountain majesty
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Gorilla Cookies,ORGrow,,,gorilla cookies
Wappa,Curaleaf,,,wappa
John Snow CBG,CBD American Shaman,,,john snow cbg
Pineapple God,Firebrand Infusions,,,pineapple god
Cookie Hoe,DJ's Farm,,,cookie hoe
Platinum SFV OG,Harvest,,,platinum sfv og
Platinum Shelf Dark Bar,LivWell,,,platinum shelf dark bar
Shawnee Hills,Bedford Grow,,,shawnee hills
Ashy Larry,AZ Nectar Farms,,,ashy larry
Oregon Juice,TMR,,,oregon juice
Cherry Punch,Zonka Flower,,,cherry punch
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Grape Octane,Cold Frame Farms,,,grape octane
Cookie Stomper Flower,Clandestine Gardens,5.0,,cookie stomper flower
Gelato Cake #1,LivWell,5.0,,gelato cake #1
Queso Perro,Cloud Cover Cannabis,,,queso perro
Gorilla Grapevine,Curaleaf,,,gorilla grapevine
Sweet Cookie Kush,Rogue Farmer,5.0,,sweet cookie kush
Durban Poison,LUVLI,,,durban poison
Lime Skunk Popcorn,Cresco Cannabis,,,lime skunk popcorn
Grease Lightning,Western Cultured by Hannah Industries,,,grease lightning
Lemon Lava,BLOOM FARMS,5.0,,lemon lava
Lemonberry Popcorn,Artizen Cannabis,,,lemonberry popcorn
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Monster Cookies,Western Cultured by Hannah Industries,,,monster cookies
Lost Coast Hash Plant ,Central Ave,,,lost coast hash plant
Watermelon Starburst,Liberty,,,watermelon starburst
Forbidden Shoes,Arizona Organix,,,forbidden shoes
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Indica - Birthday Cake,Jefferson State Farms,4.0,,indica - birthday cake
Pole Cat,The Green Halo,,,pole cat
Premium Agent X,Arizona Organix,,,premium agent x
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Dream City Purps 2.0 Flower,Dream City,,,dream city purps 2.0 flower
Mojito,Siren Cannabis,,,mojito
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Panda Mintz - Platinum Line,Phat Panda by Grow Op Farms,,,panda mintz - platinum line
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Golden Strawberries,Bloom Cannabis,,,golden strawberries
Hash Haze,Terrapin Care Station,3.9,,hash haze
Sour Chem,Arbors Wellness,,,sour chem
Super Snapple Haze,Williams Wonder Farms,,,super snapple haze
Glazed Grape,Curaleaf,,,glazed grape
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Poontang Pie,House of Cultivar,,,poontang pie
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
OG Chem,Dharma Organics & Dharma Cannabis,,,og chem
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Rozay,High Grade AZ,,,rozay
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Mendodawg Breath,Arizona Natural Selections (AZNS),,,mendodawg breath
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Hash Haze,Terrapin Care Station,3.9,,hash haze
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Gold Smoke Signals,MÜV Products,,,gold smoke signals
Dicot Private Reserve OG,Dicot Farms,,,dicot private reserve og
Blue Glue ,High Winds Farm,,,blue glue
Blackberry Kush Flower 28g,Top Shelf,,,blackberry kush flower 28g
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Kimbo Kush 3.5g,Top Shelf,,,kimbo kush 3.5g
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Amnesia Haze,ITEM 9,,,amnesia haze
Premium Nom Nom,Harvest,,,premium nom nom
Blue Dream CBD,Garden Remedies,3.0,,blue dream cbd
Granny's Diesel,Flow Kana,,,granny's diesel
Dawg,Sunday Goods,,,dawg
El Alquimista,Curaleaf,5.0,,el alquimista
Ringo's Gift,Flow Kana,,,ringo's gift
Lost Cookies Mini Buds,Driftboat,,,lost cookies mini buds
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Sour Diesel,High Winds Farm,,,sour diesel
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Puff Stuff,matter.,,,puff stuff
Cunfused Rhapsody,Alternative Compassion Services,,,cunfused rhapsody
Platinum GG4 (f.k.a. Gorilla Glue #4),Abundant Organics,,,platinum gg4
The Evelyne,Sira Naturals,3.5,,the evelyne
Banana Truffle,Northwest Cannabis Solutions,,,banana truffle
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Chemberly Bobo,Grassroots Cannabis,,,chemberly bobo
Platinum Shelf Kosher Kush,LivWell,,,platinum shelf kosher kush
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Nurse Jackie Shake,Grow West Cannabis Company,,,nurse jackie shake
Bluezz Popcorn,Copperstate Farms,,,bluezz popcorn
Sugar Lemon Kush,Harvest,,,sugar lemon kush
Ghost Train Haze,Treedom,,,ghost train haze
New York Sour,SWC,4.5,,new york sour
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Sour Diesel,Nebula Gardens,,,sour diesel
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Doug Fir,Prūf Cultivar,4.5,,doug fir
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Jellyfish (CBD),Island,,,jellyfish
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
J1,Bloom Cannabis,,,j1
Strawnana French Cookies,DTF - Downtown Flower,,,strawnana french cookies
Pie Hoe,Tryke Companies,5.0,,pie hoe
Calm 102,Canndescent,,,calm 102
Purple Tangie,Taste Budz,1.5,,purple tangie
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
303 Kush,Nativ,,,303 kush
Lemon Walker,Mayflower Medicinals,,,lemon walker
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Golden Berry,Purple Tangie,3.0,,golden berry
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Phone Home #2 - Energize,rythm,,,phone home #2 - energize
Hibiscus Sunrise,Applegate Valley Organics,,,hibiscus sunrise
Biscotti,"CommCan, Inc.",,,biscotti
Frozen Grapes,High Level Health,,,frozen grapes
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Weebe's World,Mr. Mack's,,15.0,weebe's world
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Orange Creamsicle (Sativa),Island,,,orange creamsicle
Grease Monkey,Curaleaf,,,grease monkey
Viper Cookies ,Kerby Kush Farms,5.0,,viper cookies
Grape Ape,Okanogan Gold,,,grape ape
Monster Cookies,Harvest,,,monster cookies
Mimosa,Dutch Valley Farms,,,mimosa
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Cpt. Crunchy,ITEM 9,,,cpt. crunchy
Queen's Purple Panties,Bloom Cannabis,,,queen's purple panties
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Moonshine Haze,Copperstate Farms,,,moonshine haze
Big Mama,Pacific Green Growers,,,big mama
Prepacked $20 1/8th - Ghost Train Haze,Guest Strain,,,prepacked $20 1/8th - ghost train haze
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Blueberry Cobbler (REC),High Winds Farm,,,blueberry cobbler
Grape Stomper ,Good Crops,5.0,,grape stomper
Blueberry,Cresco Cannabis,,,blueberry
Caramel Ice,High Mountain Health,,,caramel ice
Bullfighter,Mayflower Medicinals,,,bullfighter
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Pink Lemonade Popcorn Buds,Sunday Goods,,,pink lemonade popcorn buds
Holy Grail Kush,ALIS GROUP,,,holy grail kush
Premium Jawa Kush,Arizona Organix,,,premium jawa kush
Tangolina Jolie,GreenRush Cannabis,,,tangolina jolie
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Harle-Tsu,verano,,,harle-tsu
Stardawg Guava,Sunday Goods,,,stardawg guava
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Lemon Thai,Kiona,,,lemon thai
Pineapple Super Silver Haze 28g,Top Shelf,,,pineapple super silver haze 28g
Emerald Jack,Sublime Brands,,,emerald jack
Hash Haze,Terrapin Care Station,3.9,,hash haze
Island Flower (Hybrid),Island,,36.0,island flower
Purple Urkle,House of Cultivar,,,purple urkle
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Bootylicious,Sky Cannabis,,,bootylicious
Saturn OG (1/8th/3.5g) + Kief (1g),Claybourne Co.,,,saturn og  + kief
Locomotion,Ilera Healthcare,5.0,,locomotion
Tangcicle,Curaleaf,4.5,,tangcicle
Blue Steel,Freddy's Fuego,,,blue steel
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Gelato 33,Epoch Farms,,,gelato 33
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Blueberry Kush,Arizona Organix,,,blueberry kush
White Widow x Big Bud,The Botanist,,,white widow x big bud
Monkey Mints,Copperstate Farms,,,monkey mints
Chocolate Hashberry,House of Cultivar,5.0,,chocolate hashberry
Sour Diesel x Island Sweet Skunk,Green Leaf Medical (gLeaf),5.0,,sour diesel x island sweet skunk
Ambulance,Colorado Product Services,,,ambulance
Gold Granola Funk,Giving Tree Dispensary,,,gold granola funk
Vanilla Bean (UGD Grown),Urban Greenhouse,,,vanilla bean
Rose Water,Growing Like a Weed (GLW),,,rose water
Ice Cream Cake        ,Snickle Fritz by Grow Op Farms,,,ice cream cake
Superglue,Coastal Sun Farm,,,superglue
Master Kush,7 Points Oregon,,,master kush
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Underdog Pre-Roll,Mayflower Medicinals,,,underdog pre-roll
Do-Si-Do,Gnome Grown Organics,,,do-si-do
Orange Snowcone,Emerald City Growers,,,orange snowcone
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Bolumbian Gold,Khush Kush,,,bolumbian gold
OG Cookie,Emerald Family Farms,4.9,,og cookie
Jaeger Bomb (UGD Grown),Urban Greenhouse,,,jaeger bomb
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Red Light District,Omura,,35.0,red light district
Purple Punch,Urban Pharms,,,purple punch
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Cascade Connie,Western Cultured by Hannah Industries,4.5,,cascade connie
Blueberry Cough,Yerba Buena,,,blueberry cough
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Mountain Temple,District Cannabis,5.0,,mountain temple
Valley Girl,Grassroots Cannabis,,,valley girl
Lemon Stilton,Strane,,,lemon stilton
Headband Popcorn,Bloom Cannabis,,,headband popcorn
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Stardawg Illuminati,Sunday Goods,,,stardawg illuminati
Tropicanna Punch,Seattle's Private Reserve - SPR,,,tropicanna punch
Lucinda Williams,Ilera Healthcare,5.0,,lucinda williams
Sorbet Diesel,Rolling Cascades Farm,,,sorbet diesel
Pre-Packed Flower,High Garden,,,pre-packed flower
Hash Haze,Terrapin Care Station,3.9,,hash haze
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
White Widow Strain CBD Hemp Flower,Industrial Hemp Farms - IHF LLC,,6.99,white widow strain cbd hemp flower
El Alquimista,Curaleaf,5.0,,el alquimista
Bear Candy ,Royal Choice Farms,,,bear candy
Flower Gift Box (2 Jars),Canndescent,,,flower gift box
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Kaplan Kosher Flower,Clandestine Gardens,,,kaplan kosher flower
Mr. Clean,Harvest of Maryland,3.0,,mr. clean
Hiker's Headband,Western Cultured by Hannah Industries,,,hiker's headband
Master Kush,Curaleaf,,,master kush
Sapphire Kush Platinum Label,Northern Emeralds,,,sapphire kush platinum label
Forbidden Fruit,Royal Choice Farms,,,forbidden fruit
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Blue Cheese,Ilera Healthcare,5.0,,blue cheese
Strawberry Guava,Kiamichi Skies,5.0,,strawberry guava
Pacific OG,Cannafornia,2.0,,pacific og
The White Flower,Cloud Cover Cannabis,,,the white flower
Blue Lemon Thai,Wildflower,,,blue lemon thai
HeadStash G6,HeadStash Only,5.0,50.0,headstash g6
Godfather OG ,House of Cultivar,,,godfather og
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Tally Mon,Liberty,,,tally mon
Pre-98 Bubba Kush - Relax,rythm,3.5,,pre-98 bubba kush - relax
Sour Diesel,Aeriz,,,sour diesel
Critical Cheese,Korova,,,critical cheese
Pink Kush,Aeriz,3.5,,pink kush
Dream Queen ,Matrix NV,5.0,,dream queen
Acid Dough,Mayflower Medicinals,5.0,,acid dough
Blueberry x Sherbert (Sunset Sherbert),Green Leaf Medical (gLeaf),,,blueberry x sherbert
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Sour Diesel x LK,UKU,,,sour diesel x lk
Bay Breath,Grizzly Peak Farms,,,bay breath
Turquoise Jeep,High Grade AZ,5.0,,turquoise jeep
Lemon Peel,Bloom Cannabis,,,lemon peel
Nightmare OG,Applegate Valley Organics,,,nightmare og
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Ghost Train Haze #6,Sunday Goods,,,ghost train haze #6
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Jack Herer,Flav,,,jack herer
White Fire OG ,Urban Pharms,,,white fire og
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Durban Poison,In The Flow,,,durban poison
Hash Haze,Terrapin Care Station,3.9,,hash haze
Royal Grape,Falcanna,4.5,,royal grape
Blue Dream,Grown Rogue,,,blue dream
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Prepacked $20 1/8th - Cherry Punch,Guest Strain,,,prepacked $20 1/8th - cherry punch
Cherry Pie by Puffin Farms,Puffin Farm,,,cherry pie by puffin farms
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
NYC Chem,House of Cultivar,,,nyc chem
Nectar Lime,Mother Magnolia Medicinals,4.0,,nectar lime
White 99,Nature's,,,white 99
 King Louis XIII x GSC FC Popcorn,Bloom Cannabis,,,king louis xiii x gsc fc popcorn
New York Diesel,Curaleaf,,,new york diesel
Green Crack,Yilo,,,green crack
Platinum Inner Chi,High Grade AZ,,,platinum inner chi
Purple Lemon Haze 4g ,Top Shelf,,,purple lemon haze 4g
Remedy,Puffin Farm,,,remedy
GG #4,ALIS GROUP,,,gg #4
Narvona Gray 3.5 Grams,Narvona,,,narvona gray 3.5 grams
Venom OG,Nature's,,,venom og
Wifi,Flow Kana,,,wifi
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Fucking Incredible,Forbidden Farms,,,fucking incredible
The HOG,Sacred Flower Farms,,,the hog
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Animal Cake,Claybourne Co.,,,animal cake
Blue Dream,GreenRush Cannabis,,,blue dream
Gelato Glue,Prime,,,gelato glue
Champagne Skies,Omura,,40.0,champagne skies
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
AJ's Sour Diesel,Garden Remedies,,,aj's sour diesel
Muffinz,DTF - Downtown Flower,,,muffinz
Lemon Alien Dawg,Copperstate Farms,,,lemon alien dawg
Blue Glue,Blue Roots Cannabis Co.,,,blue glue
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Starkiller ,Mayflower Medicinals,,,starkiller
Wonder Goo (William's Wonder x Black Goo),Green Source Gardens,,,wonder goo
SSDH x Jack Haze Popcorn Buds,Sunday Goods,,,ssdh x jack haze popcorn buds
Strawberry Cough,Phat Panda by Grow Op Farms,,,strawberry cough
Sapphire OG,AZ Nectar Farms,,,sapphire og
Tardis #20,Sunday Goods,3.5,,tardis #20
Superfruit,Flow Kana,,,superfruit
Dutchy Flower (Oregon Huckleberry),Dutchy,,,dutchy flower
Diamond Dr. Who,High Grade AZ,,,diamond dr. who
Purple Goats,Prime,,,purple goats
High Octane x Gelato,THC Wellness,,,high octane x gelato
Pre Weighed Sativa Eighth,LivWell,,,pre weighed sativa eighth
Chem Dawg,Cresco Cannabis,,,chem dawg
Corleone Kush,Ataraxia,,,corleone kush
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
My Sharona ,Golden Leaf Wellness,,,my sharona
Biker Kush,Sunday Goods,,,biker kush
Nurse Joy,GreenRush Cannabis,4.0,,nurse joy
DogPatch,Liberty,5.0,,dogpatch
Charge 503,Canndescent,,,charge 503
Bullfighter | HOVER,Perch Harvests,,48.0,bullfighter | hover
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Charge 505,Canndescent,,,charge 505
Lavender Jones Popcorn,Campe Verde,,,lavender jones popcorn
Train Wreck,Lotus Gold,,,train wreck
Original Glue (f.k.a. GG4) (Med),High Winds Farm,,,original glue
White Widow Strain CBD Hemp Flower,Industrial Hemp Farms - IHF LLC,,6.99,white widow strain cbd hemp flower
Mackinaw Trail Mix,SKöRD,,,mackinaw trail mix
ACDC,Omura,,40.0,acdc
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Pineapple Faanta,Pot of Gold,,,pineapple faanta
Chem Mint,House of Cultivar,,,chem mint
Orange Cream,SWC,,,orange cream
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Afghani Ghost,Grassroots Cannabis,,,afghani ghost
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Banana OG,Blue Roots Cannabis Co.,,,banana og
Cherry Chem #7,District Cannabis,5.0,,cherry chem #7
Platinum Garlic,Apothca,4.9,,platinum garlic
Lemon Drop,Red Frog Cannabis,3.0,,lemon drop
Uncle Monkey Haze,Bedford Grow,5.0,,uncle monkey haze
