Name,Brand,Rating,Price,Race,Flavor,Dominance,THC,CBD,Terpenes,"Calm/Energize [-1,1]",Positive effects,Positive effects (reviews),Negative effects,Medical effects (reviews),Medical effects,Negative effects (reviews)
Mimosa,Dutch Valley Farms,,,,,THC Dominant,18–22% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Limonene']",0.8487,,"['Happy 41%', 'Uplifted 39%', 'Focused 36%', 'Energetic 34%', 'Relaxed 32%']",,"['Depression 19%', 'Stress 19%', 'Anxiety 16%', 'Pain 13%', 'Fatigue 12%']",,"['Dry mouth 10%', 'Dry eyes 9%', 'Anxious 2%', 'Dizzy 2%', 'Paranoid 1%']"
Moonshine Haze,Copperstate Farms,,,sativa,"['Earthy', 'Sweet', 'Citrus']",THC Dominant,15–18% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Pinene']",0.8604,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Uplifted 59%', 'Happy 50%', 'Euphoric 49%', 'Energetic 45%', 'Creative 44%']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression 38%', 'Stress 31%', 'Anxiety 25%', 'Pain 19%', 'Fatigue 19%']","['Depression', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue', 'Muscle Spasms']","['Dry mouth 24%', 'Dry eyes 9%', 'Anxious 4%', 'Headache 4%', 'Dizzy 2%']"
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
Grape Stomper ,Good Crops,5.0,,hybrid,"['Grape', 'Diesel', 'Sweet']",THC Dominant,,,,0.3531,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Happy 62%', 'Relaxed 55%', 'Euphoric 51%', 'Uplifted 50%', 'Creative 29%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 39%', 'Pain 35%', 'Depression 31%', 'Anxiety 29%', 'Insomnia 14%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 24%', 'Dry eyes 13%', 'Dizzy 7%', 'Anxious 4%', 'Headache 3%']"
Blueberry,Cresco Cannabis,,,indica,"['Blueberry', 'Berry', 'Sweet']",THC Dominant,14–19% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",-0.7335,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 62%', 'Happy 54%', 'Euphoric 47%', 'Sleepy 39%', 'Uplifted 32%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 40%', 'Pain 32%', 'Anxiety 29%', 'Insomnia 25%', 'Depression 23%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']","['Dry mouth 30%', 'Dry eyes 18%', 'Dizzy 7%', 'Paranoid 4%', 'Headache 3%']"
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
Holy Grail Kush,ALIS GROUP,,,hybrid,"['Earthy', 'Sweet', 'Pungent']",THC Dominant,16–22% THC,< 1% CBD,"['Limonene', 'Myrcene', 'Caryophyllene']",-0.33,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Relaxed 69%', 'Happy 62%', 'Euphoric 53%', 'Uplifted 44%', 'Creative 30%']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 39%', 'Pain 35%', 'Anxiety 31%', 'Depression 30%', 'Insomnia 23%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']","['Dry mouth 29%', 'Dry eyes 16%', 'Dizzy 8%', 'Anxious 3%', 'Paranoid 2%']"
Harle-Tsu,verano,,,hybrid,"['Earthy', 'Sweet', 'Woody']",CBD Dominant,< 1% THC,9–11% CBD,"['Myrcene', 'Terpinolene', 'Pinene']",-0.4531,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Relaxed 65%', 'Happy 39%', 'Uplifted 36%', 'Focused 29%', 'Euphoric 18%']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Pain 43%', 'Stress 37%', 'Anxiety 34%', 'Inflammation 27%', 'Depression 24%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']","['Dry mouth 12%', 'Dry eyes 5%', 'Dizzy 3%', 'Headache 3%', 'Anxious 0%']"
Stardawg Guava,Sunday Goods,,,sativa,"['Tropical', 'Sweet', 'Chemical']",THC Dominant,,,,0.7294,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Happy 74%', 'Uplifted 71%', 'Euphoric 56%', 'Relaxed 53%', 'Creative 43%']","['Dry Mouth', 'Dry Eyes']","['Depression 51%', 'Stress 48%', 'Anxiety 33%', 'Pain 30%', 'Fatigue 25%']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']","['Dry mouth 20%', 'Dry eyes 15%', 'Anxious 7%', 'Paranoid 5%', 'Dizzy 2%']"
Lemon Thai,Kiona,,,sativa,"['Lemon', 'Sweet', 'Minty']",THC Dominant,,,,0.8712,"['Relaxed', 'Happy', 'Talkative', 'Uplifted', 'Focused']","['Happy 58%', 'Energetic 52%', 'Uplifted 45%', 'Creative 41%', 'Relaxed 40%']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 36%', 'Depression 30%', 'Anxiety 21%', 'Pain 18%', 'Fatigue 12%']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']","['Dry mouth 24%', 'Dry eyes 17%', 'Anxious 6%', 'Headache 3%', 'Dizzy 2%']"
Emerald Jack,Sublime Brands,,,sativa,"['Earthy', 'Skunk', 'Pungent']",THC Dominant,,,,0.7599,"['Euphoric', 'Happy', 'Creative', 'Energetic', 'Focused']","['Happy 65%', 'Creative 52%', 'Energetic 50%', 'Euphoric 50%', 'Focused 47%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression 36%', 'Stress 36%', 'Pain 32%', 'Anxiety 29%', 'Lack of appetite 20%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 18%', 'Dizzy 12%', 'Dry eyes 7%', 'Paranoid 7%', 'Anxious 5%']"
Purple Urkle,House of Cultivar,,,indica,"['Sweet', 'Berry', 'Grape']",THC Dominant,13–18% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",-0.94,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Relaxed 66%', 'Sleepy 63%', 'Happy 45%', 'Euphoric 44%', 'Hungry 33%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 43%', 'Insomnia 43%', 'Pain 37%', 'Anxiety 35%', 'Depression 22%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']","['Dry mouth 32%', 'Dry eyes 20%', 'Dizzy 7%', 'Paranoid 5%', 'Headache 3%']"
Critical Kush (CBD),Simply Crafted,4.9,25.0,indica,"['Earthy', 'Pungent', 'Woody']",THC Dominant,15–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.8753,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 79%', 'Happy 54%', 'Sleepy 47%', 'Euphoric 41%', 'Uplifted 30%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 36%', 'Pain 33%', 'Insomnia 29%', 'Depression 28%', 'Anxiety 27%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 32%', 'Dry eyes 19%', 'Dizzy 7%', 'Anxious 4%', 'Paranoid 3%']"
Locomotion,Ilera Healthcare,5.0,,indica,"['Earthy', 'Pungent', 'Sweet']",THC Dominant,15–18% THC,< 1% CBD,,-0.7408,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted']","['Relaxed 70%', 'Euphoric 50%', 'Happy 45%', 'Uplifted 36%', 'Sleepy 27%']",['Dry Mouth'],"['Stress 47%', 'Pain 31%', 'Depression 29%', 'Insomnia 25%', 'Anxiety 20%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']","['Dry mouth 31%', 'Dizzy 6%', 'Dry eyes 6%', 'Anxious 4%', 'Paranoid 4%']"
Blue Steel,Freddy's Fuego,,,indica,"['Blueberry', 'Pungent']",THC Dominant,,,,-0.6609999999999999,"['Relaxed', 'Euphoric', 'Creative', 'Uplifted']",,[],,"['Pain', 'Stress', 'Lack of Appetite']",
Blueberry Kush,Arizona Organix,,,indica,"['Blueberry', 'Berry', 'Sweet']",THC Dominant,14–18% THC,< 1% CBD,,-0.7512,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Relaxed 60%', 'Happy 51%', 'Euphoric 45%', 'Sleepy 45%', 'Uplifted 33%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 42%', 'Pain 36%', 'Anxiety 31%', 'Insomnia 28%', 'Depression 20%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 37%', 'Dry eyes 20%', 'Dizzy 9%', 'Paranoid 7%', 'Headache 6%']"
Chocolate Hashberry,House of Cultivar,5.0,,hybrid,"['Berry', 'Sweet', 'Earthy']",THC Dominant,13–19% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.2523,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Relaxed 66%', 'Happy 53%', 'Euphoric 43%', 'Uplifted 40%', 'Creative 25%']","['Dry Mouth', 'Dry Eyes']","['Stress 33%', 'Pain 32%', 'Anxiety 23%', 'Depression 18%', 'Lack of appetite 18%']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']","['Dry eyes 16%', 'Dry mouth 16%', 'Paranoid 8%', 'Anxious 7%', 'Dizzy 4%']"
Ice Cream Cake        ,Snickle Fritz by Grow Op Farms,,,,,THC Dominant,19–24% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Linalool']",-0.9116,,"['Relaxed 53%', 'Happy 31%', 'Euphoric 31%', 'Sleepy 25%', 'Tingly 20%']",,"['Stress 19%', 'Pain 18%', 'Depression 16%', 'Anxiety 14%', 'Insomnia 11%']",,"['Dry mouth 10%', 'Dry eyes 7%', 'Dizzy 2%', 'Paranoid 2%', 'Anxious 0%']"
Superglue,Coastal Sun Farm,,,hybrid,"['Pungent', 'Pine', 'Earthy']",THC Dominant,17–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.345,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Relaxed 81%', 'Happy 62%', 'Euphoric 53%', 'Uplifted 42%', 'Focused 34%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 39%', 'Anxiety 29%', 'Pain 28%', 'Depression 27%', 'Insomnia 19%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 29%', 'Dry eyes 12%', 'Dizzy 4%', 'Anxious 4%', 'Headache 2%']"
Master Kush,7 Points Oregon,,,indica,"['Earthy', 'Pungent', 'Spicy/Herbal']",THC Dominant,15–19% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.6572,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Relaxed 64%', 'Happy 50%', 'Euphoric 50%', 'Sleepy 39%', 'Uplifted 36%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 41%', 'Pain 33%', 'Anxiety 32%', 'Insomnia 27%', 'Depression 24%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']","['Dry mouth 35%', 'Dry eyes 22%', 'Dizzy 7%', 'Paranoid 7%', 'Headache 3%']"
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,,,THC Dominant,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3794,,"['Relaxed 68%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 28%']",,"['Stress 32%', 'Pain 26%', 'Depression 25%', 'Anxiety 23%', 'Insomnia 19%']",,"['Dry mouth 26%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']"
Candyland (CBD),Black Tie CBD,5.0,9.0,sativa,"['Sweet', 'Earthy', 'Pungent']",THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.7717,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Happy 62%', 'Uplifted 53%', 'Euphoric 50%', 'Relaxed 46%', 'Energetic 42%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 30%', 'Depression 28%', 'Anxiety 21%', 'Pain 19%', 'Fatigue 16%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 21%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']"
Purple Punch,Urban Pharms,,,indica,"['Sweet', 'Grape', 'Berry']",THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Pinene']",-0.8743,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 62%', 'Happy 42%', 'Euphoric 38%', 'Sleepy 36%', 'Uplifted 25%']","['Dry Mouth', 'Dry Eyes']","['Stress 27%', 'Anxiety 23%', 'Depression 21%', 'Pain 21%', 'Insomnia 20%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']","['Dry mouth 21%', 'Dry eyes 12%', 'Dizzy 5%', 'Anxious 3%', 'Headache 2%']"
Valley Girl,Grassroots Cannabis,,,hybrid,"['Flowery', 'Earthy', 'Sweet']",THC Dominant,20–25% THC,< 1% CBD,,0.386,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Energetic']",,['Dry Mouth'],,"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Inflammation']",
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
Master Kush,Curaleaf,,,indica,"['Earthy', 'Pungent', 'Spicy/Herbal']",THC Dominant,15–19% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.6572,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Relaxed 64%', 'Happy 50%', 'Euphoric 50%', 'Sleepy 39%', 'Uplifted 36%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 41%', 'Pain 33%', 'Anxiety 32%', 'Insomnia 27%', 'Depression 24%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']","['Dry mouth 35%', 'Dry eyes 22%', 'Dizzy 7%', 'Paranoid 7%', 'Headache 3%']"
Forbidden Fruit,Royal Choice Farms,,,,,THC Dominant,14–17% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.7698,,"['Relaxed 64%', 'Happy 44%', 'Euphoric 40%', 'Sleepy 29%', 'Uplifted 27%']",,"['Stress 26%', 'Anxiety 22%', 'Pain 21%', 'Depression 19%', 'Insomnia 17%']",,"['Dry mouth 15%', 'Dry eyes 8%', 'Dizzy 1%', 'Headache 1%', 'Paranoid 1%']"
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
Blue Cheese,Ilera Healthcare,5.0,,indica,"['Blue Cheese', 'Cheese', 'Blueberry']",THC Dominant,14–18% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Myrcene']",-0.6189,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 61%', 'Happy 54%', 'Euphoric 51%', 'Sleepy 37%', 'Uplifted 35%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 40%', 'Pain 30%', 'Anxiety 29%', 'Insomnia 24%', 'Depression 24%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']","['Dry mouth 36%', 'Dry eyes 20%', 'Dizzy 8%', 'Paranoid 5%', 'Headache 4%']"
Godfather OG ,House of Cultivar,,,indica,"['Earthy', 'Woody', 'Pine']",THC Dominant,14–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.8827,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Relaxed 80%', 'Sleepy 59%', 'Happy 46%', 'Euphoric 44%', 'Hungry 38%']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Insomnia 39%', 'Stress 39%', 'Pain 38%', 'Anxiety 28%', 'Depression 25%']","['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']","['Dry mouth 25%', 'Dry eyes 22%', 'Dizzy 7%', 'Anxious 5%', 'Paranoid 5%']"
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,,,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']",,"['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']",,"['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']"
Sour Diesel,Aeriz,,,,,THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",0.8822,,"['Happy 61%', 'Uplifted 53%', 'Euphoric 53%', 'Energetic 49%', 'Creative 42%']",,"['Stress 38%', 'Depression 28%', 'Anxiety 28%', 'Pain 23%', 'Fatigue 13%']",,"['Dry mouth 34%', 'Dry eyes 19%', 'Paranoid 10%', 'Dizzy 8%', 'Headache 5%']"
Critical Cheese,Korova,,,hybrid,"['Cheese', 'Pungent', 'Earthy']",,,,,0.7979999999999999,"['Hungry', 'Euphoric', 'Creative', 'Uplifted', 'Focused']","['Euphoric 59%', 'Happy 56%', 'Uplifted 54%', 'Relaxed 45%', 'Energetic 43%']",['Dry Mouth'],"['Stress 40%', 'Anxiety 32%', 'Depression 29%', 'Pain 21%', 'PTSD 18%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 29%', 'Dry eyes 18%', 'Anxious 13%', 'Paranoid 5%']"
Pink Kush,Aeriz,3.5,,hybrid,"['Sweet', 'Flowery', 'Earthy']",THC Dominant,15–18% THC,< 1% CBD,,-0.7613,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 77%', 'Happy 59%', 'Euphoric 46%', 'Sleepy 42%', 'Uplifted 35%']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 40%', 'Pain 34%', 'Insomnia 29%', 'Depression 28%', 'Anxiety 25%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']","['Dry mouth 33%', 'Dry eyes 18%', 'Dizzy 4%', 'Anxious 4%', 'Paranoid 4%']"
Dream Queen ,Matrix NV,5.0,,hybrid,"['Sweet', 'Flowery', 'Earthy']",THC Dominant,14–19% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Ocimene']",0.4606,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Aroused']","['Uplifted 54%', 'Happy 51%', 'Euphoric 48%', 'Relaxed 47%', 'Creative 27%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 36%', 'Anxiety 29%', 'Pain 27%', 'Depression 26%', 'Insomnia 15%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']","['Dry mouth 26%', 'Dry eyes 20%', 'Dizzy 11%', 'Paranoid 4%', 'Headache 2%']"
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,,,THC Dominant,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3794,,"['Relaxed 68%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 28%']",,"['Stress 32%', 'Pain 26%', 'Depression 25%', 'Anxiety 23%', 'Insomnia 19%']",,"['Dry mouth 26%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']"
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
Jack Herer,Flav,,,sativa,"['Earthy', 'Pine', 'Woody']",THC Dominant,15–19% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Myrcene']",0.9272,"['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Happy 55%', 'Uplifted 51%', 'Euphoric 47%', 'Energetic 47%', 'Creative 43%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 36%', 'Depression 29%', 'Anxiety 28%', 'Pain 21%', 'Fatigue 15%']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']","['Dry mouth 26%', 'Dry eyes 16%', 'Paranoid 6%', 'Dizzy 6%', 'Anxious 4%']"
White Fire OG ,Urban Pharms,,,hybrid,"['Pungent', 'Earthy', 'Sweet']",THC Dominant,17–23% THC,< 1% CBD,"['Limonene', 'Myrcene', 'Caryophyllene']",0.611,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Happy 58%', 'Euphoric 50%', 'Uplifted 50%', 'Relaxed 50%', 'Energetic 37%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 31%', 'Depression 28%', 'Anxiety 27%', 'Pain 25%', 'Fatigue 13%']","['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']","['Dry mouth 24%', 'Dry eyes 12%', 'Anxious 5%', 'Dizzy 3%', 'Paranoid 3%']"
Durban Poison,In The Flow,,,sativa,"['Earthy', 'Sweet', 'Pine']",THC Dominant,14–19% THC,< 1% CBD,"['Terpinolene', 'Myrcene', 'Ocimene']",0.9764,"['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Focused']","['Energetic 56%', 'Uplifted 55%', 'Happy 50%', 'Euphoric 45%', 'Creative 41%']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 30%', 'Depression 26%', 'Anxiety 22%', 'Pain 18%', 'Fatigue 15%']","['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches']","['Dry mouth 22%', 'Dry eyes 12%', 'Anxious 6%', 'Paranoid 6%', 'Dizzy 4%']"
Blue Dream,Grown Rogue,,,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,16–20% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",0.4579,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Happy 59%', 'Euphoric 53%', 'Relaxed 50%', 'Uplifted 49%', 'Creative 39%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 38%', 'Anxiety 30%', 'Depression 28%', 'Pain 28%', 'Insomnia 14%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 31%', 'Dry eyes 16%', 'Paranoid 7%', 'Dizzy 6%', 'Anxious 4%']"
Critical Kush (CBD),Simply Crafted,4.9,25.0,indica,"['Earthy', 'Pungent', 'Woody']",THC Dominant,15–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.8753,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 79%', 'Happy 54%', 'Sleepy 47%', 'Euphoric 41%', 'Uplifted 30%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 36%', 'Pain 33%', 'Insomnia 29%', 'Depression 28%', 'Anxiety 27%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 32%', 'Dry eyes 19%', 'Dizzy 7%', 'Anxious 4%', 'Paranoid 3%']"
