Name,Brand,Rating,Price,Race,Flavor,Dominance,THC,CBD,Terpenes,"Calm/Energize [-1,1]",Positive effects,Positive effects (reviews),Negative effects,Medical effects (reviews),Medical effects,Negative effects (reviews)
Blue Dream,Yilo,2.0,,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,16–20% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",0.4579,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Happy 59%', 'Euphoric 53%', 'Relaxed 50%', 'Uplifted 49%', 'Creative 39%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 38%', 'Anxiety 30%', 'Depression 28%', 'Pain 28%', 'Insomnia 14%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 31%', 'Dry eyes 16%', 'Paranoid 7%', 'Dizzy 6%', 'Anxious 4%']"
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,,,THC Dominant,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3794,,"['Relaxed 68%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 28%']",,"['Stress 32%', 'Pain 26%', 'Depression 25%', 'Anxiety 23%', 'Insomnia 19%']",,"['Dry mouth 26%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']"
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,,,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']",,"['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']",,"['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']"
True OG,Eureka Cultivation,,,indica,"['Earthy', 'Pungent', 'Pine']",THC Dominant,17–20% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.7551,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 65%', 'Happy 54%', 'Euphoric 50%', 'Sleepy 37%', 'Uplifted 34%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 36%', 'Anxiety 30%', 'Pain 28%', 'Depression 25%', 'Insomnia 24%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']","['Dry mouth 31%', 'Dry eyes 23%', 'Dizzy 5%', 'Headache 4%', 'Anxious 2%']"
Garlic Bud,Regulator Xtracts,,,indica,"['Pungent', 'Skunk', 'Tar']",THC Dominant,,,,,"['Relaxed', 'Creative', 'Giggly', 'Aroused']",,['Anxious'],,"['Depression', 'Insomnia', 'Pain', 'Lack of Appetite', 'Fatigue']",
Zkittlez (CBD),Simply Crafted,5.0,25.0,indica,"['Sweet', 'Berry', 'Grape']",THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']"
Cookies and Cream,Prūf Cultivar,,,hybrid,"['Sweet', 'Vanilla', 'Nutty']",THC Dominant,18–23% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.159,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 66%', 'Happy 62%', 'Euphoric 51%', 'Uplifted 48%', 'Creative 27%']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 32%', 'Depression 27%', 'Anxiety 25%', 'Pain 21%', 'Insomnia 18%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']","['Dry mouth 22%', 'Dry eyes 13%', 'Dizzy 5%', 'Anxious 3%', 'Paranoid 1%']"
Panda OG,Phat Panda by Grow Op Farms,,,hybrid,"['Berry', 'Earthy', 'Sweet']",,,,,-0.0369,"['Relaxed', 'Euphoric', 'Happy', 'Talkative', 'Focused']","['Relaxed 52%', 'Focused 48%', 'Happy 48%', 'Euphoric 44%', 'Uplifted 44%']","['Paranoid', 'Anxious']","['Depression 24%', 'Lack of appetite 24%', 'Pain 24%', 'Stress 24%', 'Headaches 16%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 20%', 'Anxious 8%', 'Dry eyes 8%', 'Dizzy 4%', 'Headache 4%']"
Super Lemon Haze,Claybourne Co.,,,sativa,"['Lemon', 'Citrus', 'Sweet']",THC Dominant,15–20% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Ocimene']",0.9538,"['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Happy 55%', 'Uplifted 54%', 'Energetic 53%', 'Euphoric 49%', 'Creative 41%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 34%', 'Depression 26%', 'Anxiety 24%', 'Pain 18%', 'Fatigue 15%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 28%', 'Dry eyes 17%', 'Paranoid 7%', 'Dizzy 6%', 'Anxious 5%']"
